# Selection     : all 
# Volume        : 5.16250000e-02
# Time          	max(p)	location	cell	processor	max(U)	max(k)	location	cell	processor	max(omega)	location	cell	processor	max(nut)	location	cell	processor	max(ReThetat)	location	cell	processor	max(gammaInt)	location	cell	processor
0               	0.00000000e+00	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0	3	(5.40000000e+00 0.00000000e+00 0.00000000e+00)	5.00000000e-02	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0	3	2.65000000e+02	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0	3	1.88679245e-04	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0	3	1.60990000e+02	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0	3	1.00000000e+00	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0	3
1               	5.27828660e+00	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	3	(5.42535968e+00 1.91418214e-01 3.76605016e-19)	3.20803055e-01	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	3	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	12	0	2.34469917e-04	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16694	1	1.64515649e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16694	1	1.00000000e+00	(3.76152289e-03 2.19909777e-02 5.00000000e-02)	12403	3
2               	6.59271103e+00	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	3	(5.47937655e+00 5.25130370e-01 5.07702131e-19)	5.65991453e-02	(9.02865036e-05 3.11366197e-05 5.00000000e-02)	3800	3	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	12	0	2.52962709e-04	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16694	1	1.90776457e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16694	1	1.00000000e+00	(1.14334852e-02 4.53931371e-02 5.00000000e-02)	13948	3
3               	6.01799904e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	3	(5.50484636e+00 5.74970951e-01 4.18238877e-19)	5.19592731e-02	(9.02865036e-05 1.57000272e-04 5.00000000e-02)	4420	3	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	12	0	2.58729573e-04	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16694	1	2.18982347e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16694	1	1.00280536e+00	(-2.68795547e-04 1.01701236e-05 5.00000000e-02)	31	3
4               	5.72237121e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	3	(5.51800559e+00 6.12447898e-01 2.68811279e-19)	5.19131974e-02	(1.51210583e-04 1.57000272e-04 5.00000000e-02)	4421	3	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	12	0	2.58420033e-04	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16694	1	2.45614022e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16694	1	1.00092246e+00	(-1.78945070e-04 1.01701236e-05 5.00000000e-02)	32	3
5               	5.59057638e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	3	(5.52392571e+00 6.27732925e-01 1.97292881e-19)	5.21318581e-02	(2.74971497e-04 2.18863888e-04 5.00000000e-02)	4671	3	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	12	0	2.55073003e-04	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16694	1	2.70517844e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16694	1	1.00677847e+00	(-1.00476297e-04 1.01701236e-05 5.00000000e-02)	33	3
6               	5.52684492e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	3	(5.52497139e+00 6.36837357e-01 1.68342045e-19)	5.22086068e-02	(4.65495188e-04 2.88580868e-04 5.00000000e-02)	4922	3	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	12	0	2.50692492e-04	(2.88500438e+00 7.34180011e-02 5.00000000e-02)	14468	1	2.94036901e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16694	1	1.00012698e+00	(3.37821652e-04 4.10096419e-04 5.00000000e-02)	5292	3
7               	5.49256922e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	3	(5.52367694e+00 6.43026235e-01 1.49649942e-19)	5.22912177e-02	(5.95845619e-04 3.26691153e-04 5.00000000e-02)	5048	3	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	12	0	2.46582977e-04	(2.88500438e+00 5.43705160e-02 5.00000000e-02)	13673	1	3.16478681e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16694	1	1.00107109e+00	(-1.00476297e-04 7.70222945e-05 5.00000000e-02)	138	3
8               	5.46865881e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	3	(5.52077581e+00 6.47335514e-01 1.44541858e-19)	5.23598128e-02	(5.30332311e-04 3.26691153e-04 5.00000000e-02)	5047	3	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	12	0	2.42554684e-04	(2.88500438e+00 4.53931371e-02 5.00000000e-02)	13196	1	3.38057832e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16694	1	1.00005568e+00	(1.51210583e-04 2.88580868e-04 5.00000000e-02)	4917	3
9               	5.44910858e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	3	(5.51627296e+00 6.50094281e-01 1.40648072e-19)	5.24171055e-02	(4.65495188e-04 2.88580868e-04 5.00000000e-02)	4922	3	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	12	0	2.44566898e-04	(2.88500438e+00 1.62259029e-02 5.00000000e-02)	10493	1	3.58916633e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16694	1	1.00018013e+00	(-1.00476297e-04 1.02105369e-04 5.00000000e-02)	173	3
