# Selection     : all 
# Volume        : 5.16250000e-02
# Time          	min(p)	location	cell	processor	min(U)	min(k)	location	cell	processor	min(omega)	location	cell	processor	min(nut)	location	cell	processor	min(ReThetat)	location	cell	processor	min(gammaInt)	location	cell	processor
0               	0.00000000e+00	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0	3	(5.40000000e+00 0.00000000e+00 0.00000000e+00)	5.00000000e-02	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0	3	2.65000000e+02	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0	3	1.88679245e-04	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0	3	1.60990000e+02	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0	3	1.00000000e+00	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0	3
1               	1.82163519e-04	(2.88500438e+00 1.50737428e-01 5.00000000e-02)	16376	1	(4.10836365e+00 -1.44264415e-07 -3.10236629e-19)	2.73584784e-02	(2.88500438e+00 1.57000272e-04 5.00000000e-02)	1112	1	1.37238969e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16694	1	1.43198880e-08	(2.88500438e+00 5.33941767e-05 5.00000000e-02)	476	1	1.60990004e+02	(1.07397368e-03 1.01701236e-05 5.00000000e-02)	3691	3	1.00000000e+00	(-3.55937670e-02 1.01701236e-05 5.00000000e-02)	2	3
2               	5.17996307e-04	(2.88500438e+00 1.50737428e-01 5.00000000e-02)	16376	1	(1.13462161e+00 -2.85880906e-03 -5.72275780e-19)	1.83575632e-02	(2.88500438e+00 1.87008177e-04 5.00000000e-02)	1271	1	3.26675419e-02	(2.99912419e-05 1.02105369e-04 5.00000000e-02)	4171	3	3.86846200e-09	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1	1.60990030e+02	(2.56121894e-03 1.01701236e-05 5.00000000e-02)	3710	3	1.30911487e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
3               	3.71523010e-04	(2.88500438e+00 9.33901361e-03 5.00000000e-02)	9062	1	(5.82096682e-01 -2.87819308e-03 -4.97961556e-19)	1.69755012e-02	(6.25483922e-02 1.87008177e-04 5.00000000e-02)	1220	2	3.38495302e-02	(2.12770039e-04 2.18863888e-04 5.00000000e-02)	4670	3	1.50427349e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	3	1.60990130e+02	(3.37481238e-03 1.01701236e-05 5.00000000e-02)	3719	3	5.42483095e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
4               	3.19381802e-04	(2.88500438e+00 6.42563470e-03 5.00000000e-02)	8108	1	(4.10551621e-01 -3.97909023e-03 -3.13205937e-19)	1.31204700e-02	(2.88500438e+00 5.33941767e-05 5.00000000e-02)	476	1	3.36315852e-02	(2.12770039e-04 1.57000272e-04 5.00000000e-02)	4422	3	1.31648399e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	3	1.60990173e+02	(9.02865036e-05 1.57000272e-04 5.00000000e-02)	4420	3	4.17486602e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
5               	2.93409895e-04	(2.88500438e+00 4.98929477e-03 5.00000000e-02)	7472	1	(3.29279323e-01 -4.22668032e-03 -1.70102001e-19)	1.04601016e-02	(2.88500438e+00 5.33941767e-05 5.00000000e-02)	476	1	3.43503878e-02	(5.30332311e-04 3.26691153e-04 5.00000000e-02)	5047	3	1.23350305e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	3	1.60990356e+02	(1.51210583e-04 1.01701236e-05 5.00000000e-02)	3677	3	3.61620785e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
6               	-2.58255597e-02	(3.37821652e-04 1.01701236e-05 5.00000000e-02)	3680	3	(2.79834528e-01 -3.34190777e-03 -1.04205057e-19)	9.72601599e-03	(2.88500438e+00 7.70222945e-05 5.00000000e-02)	635	1	3.43564112e-02	(-3.19474650e-05 1.28732992e-04 5.00000000e-02)	209	3	1.24371463e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	3	1.60990492e+02	(2.74971497e-04 1.01701236e-05 5.00000000e-02)	3679	3	3.29126224e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
7               	2.66305231e-04	(2.88500438e+00 4.11625143e-03 5.00000000e-02)	6995	1	(2.45740822e-01 -1.81628452e-03 -9.17737252e-20)	8.85121319e-03	(2.88500438e+00 7.70222945e-05 5.00000000e-02)	635	1	4.05852448e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16694	1	1.23029539e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	3	1.60990639e+02	(3.37821652e-04 1.01701236e-05 5.00000000e-02)	3680	3	3.07592561e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
8               	2.58228294e-04	(2.88500438e+00 3.61536126e-03 5.00000000e-02)	6677	1	(2.20324655e-01 -2.85921308e-04 -8.17670724e-20)	8.50201979e-03	(2.88500438e+00 7.70222945e-05 5.00000000e-02)	635	1	3.73812001e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16694	1	1.24016536e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	3	1.60990804e+02	(4.65495188e-04 1.01701236e-05 5.00000000e-02)	3682	3	2.92114057e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
9               	2.51995288e-04	(2.88500438e+00 3.38649000e-03 5.00000000e-02)	6518	1	(2.00488089e-01 -4.51682064e-05 -7.39179293e-20)	8.10817706e-03	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16694	1	3.48711168e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16694	1	1.22500551e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	3	1.60991006e+02	(5.30332311e-04 1.01701236e-05 5.00000000e-02)	3683	3	2.80376321e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
10              	2.47367703e-04	(2.88500438e+00 3.17089454e-03 5.00000000e-02)	6359	1	(1.84442681e-01 -4.03722583e-09 -7.65763221e-20)	7.44729716e-03	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16694	1	3.28607833e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16694	1	1.22866928e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	3	1.60991228e+02	(6.62042164e-04 1.01701236e-05 5.00000000e-02)	3685	3	2.71127723e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
11              	2.43970436e-04	(2.88500438e+00 2.96780481e-03 5.00000000e-02)	6200	1	(1.71144853e-01 -2.82492526e-06 -7.89537211e-20)	6.89897710e-03	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16694	1	3.12219086e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16694	1	1.22139823e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	3	1.60991494e+02	(7.96513540e-04 1.01701236e-05 5.00000000e-02)	3687	3	2.63632236e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
12              	2.41421714e-04	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1	(1.59894944e-01 -1.34981033e-05 -8.07099033e-20)	6.43849490e-03	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16694	1	2.98663395e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16694	1	1.22155135e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	3	1.60991806e+02	(8.64802847e-04 1.01701236e-05 5.00000000e-02)	3688	3	2.57423061e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
