#             x      grad(U)_xx      grad(U)_xy      grad(U)_xz      grad(U)_yx      grad(U)_yy      grad(U)_yz      grad(U)_zx      grad(U)_zy      grad(U)_zz             U_x             U_y             U_z               k             nut           omega
   -0.046805254     0.010490702      0.16107268   1.5034331e-21  -0.00043052424     -0.01410031   -1.417366e-20   1.7268772e-22   -2.637709e-20  -1.5417486e-38       5.4000312   0.00047958054   3.6711659e-23     0.049341295   0.00018847731       261.78402
   -0.040820451     0.025492848      0.15982963   4.2754483e-20   -0.0016327385    -0.026965076   7.6223205e-22   3.1287612e-21  -2.3869655e-20   9.3929405e-39        5.400133     0.001429595   3.5262004e-22     0.048107222   0.00018809512       255.75466
   -0.035593767     0.043135274      0.15760951   1.0055979e-20   -0.0038568094    -0.042723341    3.472892e-21   9.8180294e-22  -3.3167711e-20  -4.1435075e-38        5.400309    0.0022674147   6.5310851e-22     0.047049786    0.0001877606       250.58002
   -0.031029167     0.057111576      0.15478181  -3.5009724e-20   -0.0067322966    -0.056307441  -4.8023216e-21  -8.8414285e-21  -4.8623619e-20  -6.1176392e-38       5.4005368    0.0029873938   5.7504021e-22     0.046161864   0.00018747415       246.22774
   -0.027042782     0.068409408      0.15164131  -2.1604889e-20   -0.0099198741    -0.067973928  -1.6616956e-20   1.9173263e-20   1.4546881e-20   7.8947867e-38        5.400786    0.0036040722   3.8156751e-22     0.045412642   0.00018722843       242.55001
   -0.023561368     0.078115605      0.14837962  -3.1568498e-20    -0.013219044    -0.077963675  -2.9064527e-20   8.0289822e-20   1.3184967e-19  -1.7190358e-37       5.4010404    0.0041313279   3.5566006e-22     0.044777511   0.00018701719       239.42842
   -0.020520958     0.086606876      0.14512036  -1.0518874e-19    -0.016506812    -0.086497943  -3.3845348e-20   4.1458687e-20   7.4842546e-20   2.1886036e-38       5.4012907    0.0045817295     2.29752e-22     0.044236893    0.0001868352       236.76848
   -0.017865688     0.093908449      0.14195585  -8.6897345e-20    -0.019692034    -0.093777753  -2.4765208e-20  -1.1981823e-19  -1.7265655e-19   7.1519211e-37       5.4015307    0.0049664062  -1.4902406e-22     0.043775106   0.00018667811        234.4943
   -0.015546772        0.100095      0.13895279   7.4457572e-20    -0.022709353      -0.0999831  -3.6001625e-21  -1.6042414e-19   -2.406255e-19  -4.8111817e-37       5.4017562    0.0052950796  -2.9307188e-22     0.043379469   0.00018654232       232.54431
   -0.013521602      0.10533742      0.13615213   1.0513422e-19     -0.02551936     -0.10527248   8.0293433e-21   3.5378232e-20   2.0572826e-20  -1.3298287e-36       5.4019649      0.00557614   1.7347107e-23      0.04303963   0.00018642476       230.86819
