# y+ ()         
# Time          	patch           	min             	max             	average         
0               	lowerWall	1.91343787e+00	1.91343787e+00	1.91343787e+00
1               	lowerWall	1.66898304e+00	1.77854133e+00	1.67309400e+00
2               	lowerWall	8.77087680e-01	1.51036490e+00	9.06960119e-01
3               	lowerWall	6.28224757e-01	1.44538595e+00	6.56438332e-01
4               	lowerWall	5.27595850e-01	1.41897494e+00	5.55085323e-01
5               	lowerWall	4.72497718e-01	1.40794749e+00	5.00019805e-01
6               	lowerWall	4.35580206e-01	1.40302323e+00	4.63484355e-01
7               	lowerWall	4.08184152e-01	1.40062774e+00	4.36625364e-01
8               	lowerWall	3.86499587e-01	1.39939842e+00	4.15559467e-01
9               	lowerWall	3.68690352e-01	1.39855815e+00	3.98403840e-01
10              	lowerWall	3.53629265e-01	1.39771420e+00	3.84015378e-01
11              	lowerWall	3.40642951e-01	1.39670264e+00	3.71708747e-01
12              	lowerWall	3.29256874e-01	1.39549409e+00	3.61005174e-01
13              	lowerWall	3.19149601e-01	1.39416374e+00	3.51580045e-01
14              	lowerWall	3.10078840e-01	1.39279420e+00	3.43190134e-01
15              	lowerWall	3.01866657e-01	1.39144141e+00	3.35656691e-01
16              	lowerWall	2.94373726e-01	1.39013813e+00	3.28840188e-01
17              	lowerWall	2.87492169e-01	1.38890113e+00	3.22632541e-01
18              	lowerWall	2.81135167e-01	1.38773659e+00	3.16946891e-01
19              	lowerWall	2.75232937e-01	1.38664520e+00	3.11713392e-01
20              	lowerWall	2.69728028e-01	1.38562400e+00	3.06874586e-01
21              	lowerWall	2.64572969e-01	1.38466779e+00	3.02382981e-01
22              	lowerWall	2.59727934e-01	1.38377098e+00	2.98198742e-01
23              	lowerWall	2.55159322e-01	1.38292817e+00	2.94288265e-01
24              	lowerWall	2.50838493e-01	1.38213438e+00	2.90622905e-01
25              	lowerWall	2.46740898e-01	1.38138510e+00	2.87178103e-01
26              	lowerWall	2.42845336e-01	1.38067631e+00	2.83932643e-01
27              	lowerWall	2.39133400e-01	1.38000439e+00	2.80868100e-01
28              	lowerWall	2.35589010e-01	1.37936614e+00	2.77968377e-01
29              	lowerWall	2.32198034e-01	1.37875871e+00	2.75219340e-01
30              	lowerWall	2.28948004e-01	1.37817959e+00	2.72608517e-01
31              	lowerWall	2.25827892e-01	1.37762654e+00	2.70124858e-01
32              	lowerWall	2.22827909e-01	1.37709758e+00	2.67758536e-01
33              	lowerWall	2.19939333e-01	1.37659094e+00	2.65500783e-01
34              	lowerWall	2.17154366e-01	1.37610502e+00	2.63343742e-01
35              	lowerWall	2.14466006e-01	1.37563840e+00	2.61280364e-01
36              	lowerWall	2.11867947e-01	1.37518978e+00	2.59304292e-01
37              	lowerWall	2.09354495e-01	1.37475798e+00	2.57409781e-01
38              	lowerWall	2.06920487e-01	1.37434188e+00	2.55591622e-01
39              	lowerWall	2.04561226e-01	1.37394048e+00	2.53845079e-01
40              	lowerWall	2.02272422e-01	1.37355284e+00	2.52165838e-01
41              	lowerWall	2.00050152e-01	1.37317810e+00	2.50549957e-01
42              	lowerWall	1.97890827e-01	1.37281549e+00	2.48993825e-01
43              	lowerWall	1.95791150e-01	1.37246429e+00	2.47494125e-01
44              	lowerWall	1.93748086e-01	1.37212385e+00	2.46047808e-01
45              	lowerWall	1.91758826e-01	1.37179356e+00	2.44652059e-01
46              	lowerWall	1.89820763e-01	1.37147289e+00	2.43304278e-01
47              	lowerWall	1.87931466e-01	1.37116133e+00	2.42002052e-01
48              	lowerWall	1.86088667e-01	1.37085842e+00	2.40743139e-01
49              	lowerWall	1.84290244e-01	1.37056372e+00	2.39525451e-01
50              	lowerWall	1.82534210e-01	1.37027685e+00	2.38347038e-01
51              	lowerWall	1.80818692e-01	1.36999715e+00	2.37206075e-01
52              	lowerWall	1.79141932e-01	1.36972533e+00	2.36100856e-01
53              	lowerWall	1.77502280e-01	1.36946062e+00	2.35029779e-01
54              	lowerWall	1.75898188e-01	1.36920236e+00	2.33991339e-01
55              	lowerWall	1.74328209e-01	1.36895016e+00	2.32984120e-01
56              	lowerWall	1.72790986e-01	1.36870378e+00	2.32006793e-01
57              	lowerWall	1.71285246e-01	1.36846301e+00	2.31058108e-01
58              	lowerWall	1.69809794e-01	1.36822768e+00	2.30136886e-01
59              	lowerWall	1.68363507e-01	1.36799760e+00	2.29242017e-01
60              	lowerWall	1.66945327e-01	1.36777257e+00	2.28372453e-01
61              	lowerWall	1.65554258e-01	1.36755244e+00	2.27527205e-01
62              	lowerWall	1.64189362e-01	1.36733702e+00	2.26705336e-01
63              	lowerWall	1.62849750e-01	1.36712615e+00	2.25905962e-01
64              	lowerWall	1.61534578e-01	1.36691969e+00	2.25128246e-01
65              	lowerWall	1.60243048e-01	1.36671748e+00	2.24371393e-01
66              	lowerWall	1.58974406e-01	1.36651939e+00	2.23634650e-01
67              	lowerWall	1.57727938e-01	1.36632528e+00	2.22917301e-01
68              	lowerWall	1.56502971e-01	1.36613501e+00	2.22218666e-01
69              	lowerWall	1.55298868e-01	1.36594848e+00	2.21538099e-01
70              	lowerWall	1.54115027e-01	1.36576556e+00	2.20874984e-01
71              	lowerWall	1.52950876e-01	1.36558616e+00	2.20228736e-01
72              	lowerWall	1.51805875e-01	1.36541015e+00	2.19598796e-01
73              	lowerWall	1.50679508e-01	1.36523745e+00	2.18984632e-01
74              	lowerWall	1.49571283e-01	1.36506795e+00	2.18385734e-01
