# Selection     : all 
# Volume        : 5.16250000e-02
# Time          	max(p)	location	cell	processor	max(kl)	location	cell	processor	max(kt)	location	cell	processor	max(omega)	location	cell	processor	max(nut)	location	cell	processor
0               	0.00000000e+00	(1.56168464e-02 1.01701236e-05 5.00000000e-02)	0	3	1.00000000e-01	(1.56168464e-02 1.01701236e-05 5.00000000e-02)	0	3	1.00000000e-01	(1.56168464e-02 1.01701236e-05 5.00000000e-02)	0	3	2.40000000e+01	(1.56168464e-02 1.01701236e-05 5.00000000e-02)	0	3	0.00000000e+00	(1.56168464e-02 1.01701236e-05 5.00000000e-02)	0	3
1               	2.88814522e+00	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	2	1.00410932e-01	(2.88500438e+00 5.33941767e-05 5.00000000e-02)	476	1	9.99857414e-02	(-5.75404224e-03 3.11366197e-05 5.00000000e-02)	50	2	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	12	0	6.29360569e-04	(2.88500438e+00 1.60039776e-01 5.00000000e-02)	16535	1
2               	4.39767298e+00	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	2	1.00063244e-01	(2.66080727e-02 3.11366197e-05 5.00000000e-02)	196	3	1.06181909e-01	(-3.19474650e-05 1.02105369e-04 5.00000000e-02)	174	2	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	12	0	7.29116173e-04	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16694	1
3               	4.83933443e+00	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	2	9.99970428e-02	(-3.19474650e-05 1.02105369e-04 5.00000000e-02)	174	2	1.00203753e-01	(2.12770039e-04 2.18863888e-04 5.00000000e-02)	4686	2	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	12	0	7.33594650e-04	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16694	1
4               	5.02756213e+00	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	2	9.99034517e-02	(6.32530294e-03 1.01701236e-05 5.00000000e-02)	3746	2	1.01314925e-01	(2.99912419e-05 1.28732992e-04 5.00000000e-02)	4305	2	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	12	0	7.04568470e-04	(2.88500438e+00 1.41974667e-01 5.00000000e-02)	16217	1
5               	5.08456976e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	2	9.98448970e-02	(6.45125187e-03 1.01701236e-05 5.00000000e-02)	3747	2	9.99118125e-02	(-5.75404224e-03 3.11366197e-05 5.00000000e-02)	50	2	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	12	0	6.71616745e-04	(2.88500438e+00 6.51105205e-02 5.00000000e-02)	14150	1
6               	5.20881462e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	2	9.98334633e-02	(-4.68052535e-02 1.69914938e-01 5.00000000e-02)	3640	2	1.01429016e-01	(-3.19474650e-05 1.02105369e-04 5.00000000e-02)	174	2	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	12	0	6.72503101e-04	(2.88500438e+00 9.93442535e-03 5.00000000e-02)	9221	1
7               	5.27893839e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	2	9.98316136e-02	(-4.68052535e-02 2.11597538e-03 5.00000000e-02)	1155	2	9.98670365e-02	(-5.75404224e-03 1.01701236e-05 5.00000000e-02)	15	2	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	12	0	6.73915137e-04	(2.88500438e+00 9.93442535e-03 5.00000000e-02)	9221	1
8               	5.31743218e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	2	9.98316663e-02	(-4.68052535e-02 1.84040904e-03 5.00000000e-02)	1085	2	1.00094507e-01	(-3.19474650e-05 1.02105369e-04 5.00000000e-02)	174	2	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	12	0	6.73294114e-04	(2.88500438e+00 9.33901361e-03 5.00000000e-02)	9062	1
9               	5.33605227e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	2	9.98316446e-02	(-4.68052535e-02 1.48415378e-03 5.00000000e-02)	980	2	9.98178703e-02	(-4.96935452e-03 1.01701236e-05 5.00000000e-02)	16	2	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	12	0	6.70447121e-04	(2.88500438e+00 9.33901361e-03 5.00000000e-02)	9062	1
