# Selection     : all 
# Volume        : 5.16250000e-02
# Time          	maxMag(U)	location	cell	processor
0               	5.40000000e+00	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0	3
1               	5.46235009e+00	(2.74971497e-04 1.28732992e-04 5.00000000e-02)	4329	3
2               	5.47623997e+00	(4.01327271e-04 1.87008177e-04 5.00000000e-02)	4591	3
3               	5.47891297e+00	(5.30332311e-04 2.18863888e-04 5.00000000e-02)	4723	3
4               	5.48311075e+00	(5.95845619e-04 2.18863888e-04 5.00000000e-02)	4724	3
5               	5.49168215e+00	(6.62042164e-04 2.52681188e-04 5.00000000e-02)	4855	3
6               	5.49733569e+00	(6.62042164e-04 2.52681188e-04 5.00000000e-02)	4855	3
7               	5.49846864e+00	(7.96513540e-04 2.88580868e-04 5.00000000e-02)	4987	3
8               	5.49882885e+00	(7.96513540e-04 2.88580868e-04 5.00000000e-02)	4987	3
9               	5.49728021e+00	(7.96513540e-04 2.88580868e-04 5.00000000e-02)	4987	3
10              	5.49632514e+00	(1.00352545e-03 3.26691153e-04 5.00000000e-02)	5120	3
11              	5.49542140e+00	(1.21708191e-03 3.67148169e-04 5.00000000e-02)	5253	3
12              	5.49462154e+00	(1.21708191e-03 3.67148169e-04 5.00000000e-02)	5253	3
13              	5.49327088e+00	(1.43738982e-03 4.10096419e-04 5.00000000e-02)	5386	3
14              	5.49205870e+00	(1.51236281e-03 4.10096419e-04 5.00000000e-02)	5387	3
15              	5.49058166e+00	(1.51236281e-03 4.10096419e-04 5.00000000e-02)	5387	3
16              	5.48905251e+00	(1.74200583e-03 4.55689308e-04 5.00000000e-02)	5520	3
17              	5.48777429e+00	(1.82015566e-03 4.55689308e-04 5.00000000e-02)	5521	3
18              	5.48652608e+00	(1.82015566e-03 4.55689308e-04 5.00000000e-02)	5521	3
19              	5.48536301e+00	(2.05952936e-03 5.04089685e-04 5.00000000e-02)	5654	3
20              	5.48442202e+00	(2.14099063e-03 5.04089685e-04 5.00000000e-02)	5655	3
21              	5.48351557e+00	(2.14099063e-03 5.04089685e-04 5.00000000e-02)	5655	3
22              	5.48265733e+00	(2.14099063e-03 5.04089685e-04 5.00000000e-02)	5655	3
23              	5.48187744e+00	(2.47542036e-03 5.55470428e-04 5.00000000e-02)	5789	3
24              	5.48130147e+00	(2.47542036e-03 5.55470428e-04 5.00000000e-02)	5789	3
25              	5.48077627e+00	(2.47542036e-03 5.55470428e-04 5.00000000e-02)	5789	3
26              	5.48030424e+00	(2.47542036e-03 5.55470428e-04 5.00000000e-02)	5789	3
27              	5.47988234e+00	(2.47542036e-03 5.55470428e-04 5.00000000e-02)	5789	3
28              	5.47949917e+00	(2.47542036e-03 5.55470428e-04 5.00000000e-02)	5789	3
29              	5.47915804e+00	(2.82402089e-03 6.10015059e-04 5.00000000e-02)	5923	3
30              	5.47890802e+00	(2.91345502e-03 6.10015059e-04 5.00000000e-02)	5924	3
31              	5.47867891e+00	(2.91345502e-03 6.10015059e-04 5.00000000e-02)	5924	3
32              	5.47845876e+00	(2.91345502e-03 6.10015059e-04 5.00000000e-02)	5924	3
33              	5.47824031e+00	(2.91345502e-03 6.10015059e-04 5.00000000e-02)	5924	3
34              	5.47801815e+00	(2.91345502e-03 6.10015059e-04 5.00000000e-02)	5924	3
35              	5.47779382e+00	(2.91345502e-03 6.10015059e-04 5.00000000e-02)	5924	3
36              	5.47759532e+00	(3.37481238e-03 6.67918404e-04 5.00000000e-02)	6059	3
37              	5.47740257e+00	(3.37481238e-03 6.67918404e-04 5.00000000e-02)	6059	3
38              	5.47719607e+00	(3.37481238e-03 6.67918404e-04 5.00000000e-02)	6059	3
39              	5.47697617e+00	(3.37481238e-03 6.67918404e-04 5.00000000e-02)	6059	3
40              	5.47674345e+00	(3.37481238e-03 6.67918404e-04 5.00000000e-02)	6059	3
41              	5.47649860e+00	(3.37481238e-03 6.67918404e-04 5.00000000e-02)	6059	3
42              	5.47623975e+00	(3.37481238e-03 6.67918404e-04 5.00000000e-02)	6059	3
43              	5.47596978e+00	(3.37481238e-03 6.67918404e-04 5.00000000e-02)	6059	3
44              	5.47569016e+00	(3.37481238e-03 6.67918404e-04 5.00000000e-02)	6059	3
45              	5.47540148e+00	(3.37481238e-03 6.67918404e-04 5.00000000e-02)	6059	3
46              	5.47510417e+00	(3.37481238e-03 6.67918404e-04 5.00000000e-02)	6059	3
47              	5.47480509e+00	(3.86073421e-03 7.29387281e-04 5.00000000e-02)	6194	3
48              	5.47450142e+00	(3.86073421e-03 7.29387281e-04 5.00000000e-02)	6194	3
49              	5.47419029e+00	(3.86073421e-03 7.29387281e-04 5.00000000e-02)	6194	3
50              	5.47387257e+00	(3.86073421e-03 7.29387281e-04 5.00000000e-02)	6194	3
51              	5.47354796e+00	(3.86073421e-03 7.29387281e-04 5.00000000e-02)	6194	3
52              	5.47321713e+00	(3.86073421e-03 7.29387281e-04 5.00000000e-02)	6194	3
53              	5.47288147e+00	(3.86073421e-03 7.29387281e-04 5.00000000e-02)	6194	3
54              	5.47254199e+00	(3.86073421e-03 7.29387281e-04 5.00000000e-02)	6194	3
55              	5.47219960e+00	(3.86073421e-03 7.29387281e-04 5.00000000e-02)	6194	3
56              	5.47185509e+00	(3.86073421e-03 7.29387281e-04 5.00000000e-02)	6194	3
57              	5.47150933e+00	(3.86073421e-03 7.29387281e-04 5.00000000e-02)	6194	3
58              	5.47116316e+00	(3.86073421e-03 7.29387281e-04 5.00000000e-02)	6194	3
59              	5.47081745e+00	(3.86073421e-03 7.29387281e-04 5.00000000e-02)	6194	3
60              	5.47047297e+00	(3.86073421e-03 7.29387281e-04 5.00000000e-02)	6194	3
61              	5.47013056e+00	(3.86073421e-03 7.29387281e-04 5.00000000e-02)	6194	3
62              	5.46979104e+00	(3.86073421e-03 7.29387281e-04 5.00000000e-02)	6194	3
63              	5.46945518e+00	(3.86073421e-03 7.29387281e-04 5.00000000e-02)	6194	3
64              	5.46912365e+00	(3.86073421e-03 7.29387281e-04 5.00000000e-02)	6194	3
65              	5.46879704e+00	(3.86073421e-03 7.29387281e-04 5.00000000e-02)	6194	3
66              	5.46847590e+00	(3.86073421e-03 7.29387281e-04 5.00000000e-02)	6194	3
67              	5.46816079e+00	(3.86073421e-03 7.29387281e-04 5.00000000e-02)	6194	3
68              	5.46785223e+00	(3.86073421e-03 7.29387281e-04 5.00000000e-02)	6194	3
69              	5.46755080e+00	(3.86073421e-03 7.29387281e-04 5.00000000e-02)	6194	3
70              	5.46725641e+00	(3.86073421e-03 7.29387281e-04 5.00000000e-02)	6194	3
71              	5.46696874e+00	(3.86073421e-03 7.29387281e-04 5.00000000e-02)	6194	3
72              	5.46668871e+00	(3.86073421e-03 7.29387281e-04 5.00000000e-02)	6194	3
73              	5.46744017e+00	(2.88500438e+00 5.11975664e-02 5.00000000e-02)	13569	1
74              	5.46851291e+00	(2.88500438e+00 5.11975664e-02 5.00000000e-02)	13569	1
75              	5.46957741e+00	(2.88500438e+00 5.11975664e-02 5.00000000e-02)	13569	1
76              	5.47063335e+00	(2.88500438e+00 5.11975664e-02 5.00000000e-02)	13569	1
77              	5.47167956e+00	(2.88500438e+00 5.11975664e-02 5.00000000e-02)	13569	1
78              	5.47271586e+00	(2.88500438e+00 5.11975664e-02 5.00000000e-02)	13569	1
79              	5.47375483e+00	(2.88500438e+00 4.82086654e-02 5.00000000e-02)	13406	1
80              	5.47479048e+00	(2.88500438e+00 4.82086654e-02 5.00000000e-02)	13406	1
81              	5.47581413e+00	(2.88500438e+00 4.82086654e-02 5.00000000e-02)	13406	1
82              	5.47682487e+00	(2.88500438e+00 4.82086654e-02 5.00000000e-02)	13406	1
83              	5.47782273e+00	(2.88500438e+00 4.82086654e-02 5.00000000e-02)	13406	1
84              	5.47880745e+00	(2.88500438e+00 4.82086654e-02 5.00000000e-02)	13406	1
85              	5.47977972e+00	(2.88500438e+00 4.82086654e-02 5.00000000e-02)	13406	1
86              	5.48074091e+00	(2.88500438e+00 4.82086654e-02 5.00000000e-02)	13406	1
87              	5.48169323e+00	(2.88500438e+00 4.82086654e-02 5.00000000e-02)	13406	1
88              	5.48264036e+00	(2.88500438e+00 4.82086654e-02 5.00000000e-02)	13406	1
89              	5.48358651e+00	(2.88500438e+00 4.82086654e-02 5.00000000e-02)	13406	1
90              	5.48453797e+00	(2.88500438e+00 4.82086654e-02 5.00000000e-02)	13406	1
91              	5.48550217e+00	(2.88500438e+00 4.82086654e-02 5.00000000e-02)	13406	1
92              	5.48648795e+00	(2.88500438e+00 4.82086654e-02 5.00000000e-02)	13406	1
93              	5.48750483e+00	(2.88500438e+00 4.82086654e-02 5.00000000e-02)	13406	1
94              	5.48856391e+00	(2.88500438e+00 4.82086654e-02 5.00000000e-02)	13406	1
95              	5.48968000e+00	(2.88500438e+00 5.11975664e-02 5.00000000e-02)	13569	1
96              	5.49088755e+00	(2.88500438e+00 5.11975664e-02 5.00000000e-02)	13569	1
97              	5.49216652e+00	(2.88500438e+00 5.11975664e-02 5.00000000e-02)	13569	1
98              	5.49352475e+00	(2.88500438e+00 5.43705160e-02 5.00000000e-02)	13732	1
99              	5.49497707e+00	(2.88500438e+00 5.43705160e-02 5.00000000e-02)	13732	1
100             	5.49649657e+00	(2.88500438e+00 5.43705160e-02 5.00000000e-02)	13732	1
101             	5.49807684e+00	(2.88500438e+00 5.43705160e-02 5.00000000e-02)	13732	1
102             	5.49970806e+00	(2.88500438e+00 5.43705160e-02 5.00000000e-02)	13732	1
103             	5.50138028e+00	(2.88500438e+00 5.43705160e-02 5.00000000e-02)	13732	1
104             	5.50308440e+00	(2.88500438e+00 5.11975664e-02 5.00000000e-02)	13569	1
105             	5.50483804e+00	(2.88500438e+00 5.11975664e-02 5.00000000e-02)	13569	1
106             	5.50660802e+00	(2.88500438e+00 5.11975664e-02 5.00000000e-02)	13569	1
107             	5.50838442e+00	(2.88500438e+00 5.11975664e-02 5.00000000e-02)	13569	1
108             	5.51015892e+00	(2.88500438e+00 5.11975664e-02 5.00000000e-02)	13569	1
109             	5.51193685e+00	(2.88500438e+00 4.82086654e-02 5.00000000e-02)	13406	1
110             	5.51373506e+00	(2.88500438e+00 4.82086654e-02 5.00000000e-02)	13406	1
