# Selection     : all 
# Volume        : 5.16250000e-02
# Time          	min(p)	location	cell	processor	min(kl)	location	cell	processor	min(kt)	location	cell	processor	min(omega)	location	cell	processor	min(nut)	location	cell	processor
0               	0.00000000e+00	(1.56168464e-02 1.01701236e-05 5.00000000e-02)	0	3	1.00000000e-01	(1.56168464e-02 1.01701236e-05 5.00000000e-02)	0	3	1.00000000e-01	(1.56168464e-02 1.01701236e-05 5.00000000e-02)	0	3	2.40000000e+01	(1.56168464e-02 1.01701236e-05 5.00000000e-02)	0	3	0.00000000e+00	(1.56168464e-02 1.01701236e-05 5.00000000e-02)	0	3
1               	4.73436977e-04	(2.88500438e+00 1.60039776e-01 5.00000000e-02)	16535	1	8.84186283e-02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16694	1	1.00795799e-02	(2.88500438e+00 3.11366197e-05 5.00000000e-02)	317	1	1.31975287e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16694	1	1.31851761e-10	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
2               	4.61063287e-04	(2.88500438e+00 1.41974667e-01 5.00000000e-02)	16217	1	5.24577731e-02	(2.88500438e+00 4.55689308e-04 5.00000000e-02)	2384	1	1.10019636e-03	(2.88500438e+00 3.11366197e-05 5.00000000e-02)	317	1	2.22044605e-16	(-1.00476297e-04 3.11366197e-05 5.00000000e-02)	68	2	9.73984107e-22	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
3               	4.13085722e-04	(2.88500438e+00 9.33901361e-03 5.00000000e-02)	9062	1	5.10260829e-02	(2.88500438e+00 5.55470428e-04 5.00000000e-02)	2702	1	1.56091373e-04	(2.88500438e+00 3.11366197e-05 5.00000000e-02)	317	1	8.19059424e-01	(4.65495188e-04 2.88580868e-04 5.00000000e-02)	4942	2	1.60149336e-23	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
4               	3.84034560e-04	(2.88500438e+00 8.24979824e-03 5.00000000e-02)	8744	1	5.42866915e-02	(2.88500438e+00 6.10015059e-04 5.00000000e-02)	2861	1	2.91223014e-05	(2.88500438e+00 5.33941767e-05 5.00000000e-02)	476	1	2.22044605e-16	(-3.19474650e-05 1.02105369e-04 5.00000000e-02)	174	2	2.51365914e-24	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
5               	3.64877122e-04	(2.88500438e+00 8.24979824e-03 5.00000000e-02)	8744	1	5.71445884e-02	(2.88500438e+00 6.67918404e-04 5.00000000e-02)	3020	1	1.23132802e-05	(2.88500438e+00 5.33941767e-05 5.00000000e-02)	476	1	5.14490312e+00	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16694	1	1.61241580e-24	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
6               	-1.60362736e-02	(4.01327271e-04 1.01701236e-05 5.00000000e-02)	3681	2	5.91534880e-02	(2.88500438e+00 7.29387281e-04 5.00000000e-02)	3179	1	5.88229585e-06	(2.88500438e+00 5.33941767e-05 5.00000000e-02)	476	1	2.22044605e-16	(-3.19474650e-05 1.02105369e-04 5.00000000e-02)	174	2	1.35759483e-24	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
7               	3.37982093e-04	(2.88500438e+00 7.28327903e-03 5.00000000e-02)	8426	1	6.04783379e-02	(2.88500438e+00 7.94641248e-04 5.00000000e-02)	3338	1	6.35427042e-06	(2.88500438e+00 7.70222945e-05 5.00000000e-02)	635	1	4.19998047e+00	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16694	1	1.20532988e-24	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
8               	3.27653106e-04	(2.88500438e+00 6.84164836e-03 5.00000000e-02)	8267	1	6.12993098e-02	(2.88500438e+00 8.63913380e-04 5.00000000e-02)	3497	1	3.90157936e-06	(2.88500438e+00 7.70222945e-05 5.00000000e-02)	635	1	3.31018011e-01	(-3.19474650e-05 1.28732992e-04 5.00000000e-02)	209	2	1.09019566e-24	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
9               	3.18630705e-04	(2.88500438e+00 6.42563470e-03 5.00000000e-02)	8108	1	6.02968311e-02	(2.88500438e+00 9.93442535e-03 5.00000000e-02)	9221	1	4.12929701e-06	(2.88500438e+00 7.70222945e-05 5.00000000e-02)	635	1	3.65961014e+00	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	16694	1	9.98536536e-25	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
