# Selection     : all 
# Volume        : 5.16250000e-02
# Time          	minMag(U)	location	cell	processor
0               	5.40000000e+00	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0	3
1               	1.36301688e+00	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
2               	6.47733344e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
3               	4.39465212e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
4               	3.45382270e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
5               	2.89991580e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
6               	2.52418035e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
7               	2.24768466e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
8               	2.03331487e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
9               	1.86094869e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
10              	1.71857392e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
11              	1.59850715e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
12              	1.49557058e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
13              	1.40612872e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
14              	1.32754277e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
15              	1.25784393e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
16              	1.19552894e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
17              	1.13942682e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
18              	1.08860998e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
19              	1.04233256e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
20              	9.99986984e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
21              	9.61072590e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
22              	9.25172639e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
23              	8.91937051e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
24              	8.61069334e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
25              	8.32316534e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
26              	8.05461385e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
27              	7.80316120e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
28              	7.56717574e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
29              	7.34523214e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
30              	7.13607941e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
31              	6.93861468e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
32              	6.75186162e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
33              	6.57495268e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
