#             y      grad(U)_xx      grad(U)_xy      grad(U)_xz      grad(U)_yx      grad(U)_yy      grad(U)_yz      grad(U)_zx      grad(U)_zy      grad(U)_zz             U_x             U_y             U_z              kl              kt             nut           omega
   3.113662e-05     -0.18708915   -2.773849e-05  -6.4925346e-21       2566.6461      0.17250175   7.1878281e-19   2.0364699e-14   2.4775954e-18  -9.9423293e-36     0.080699864   3.4195135e-06  -1.8341803e-23       0.1002164   0.00016886746   2.8109793e-24       3237316.7
  5.3394177e-05     -0.31984973  -7.3730281e-05  -1.9962606e-21       2566.0017      0.31443497   5.1786085e-19   -2.551444e-14  -6.4138099e-18    2.216598e-35      0.13786698   9.0029959e-06   1.7941474e-23      0.10036906   9.6061868e-06   8.3310157e-24       222226.01
  7.7022295e-05     -0.46075912  -0.00014933173   2.8225857e-20       2565.3099      0.45780434  -1.5179967e-18  -6.5784676e-15   1.3223107e-18   4.6608289e-35      0.19853879   1.8240974e-05    8.474999e-25      0.10053123   1.9792861e-06   2.3228459e-23       53821.566
  0.00010210537      -0.6103053  -0.00025985575   1.2430578e-20       2564.5261      0.60829263   4.4590934e-19   8.7839968e-14   2.0707897e-17  -1.7426409e-35      0.26292815    3.174729e-05    -6.08083e-23      0.10070353   9.0224348e-07   1.0400884e-22       21805.015
  0.00012873299     -0.76899794  -0.00041079965  -2.0149153e-20       2563.6206      0.76670485   2.5404336e-18  -3.7596081e-14  -1.8901578e-17  -2.7504992e-35      0.33126001   5.0193756e-05   4.0673575e-23      0.10088667   8.2864939e-07   8.8609565e-22       11265.542
  0.00015700027      -0.9373661  -0.00060887421   8.2409483e-21       2562.5554      0.93477505  -1.7564234e-18  -8.9794274e-14  -2.6934117e-17  -4.6111336e-35      0.40377178   7.4399936e-05   7.0302847e-23      0.10108145   1.2203914e-06   9.6333897e-21       6667.2918
  0.00018700818      -1.1159546  -0.00086179981  -2.8860557e-21       2561.2821       1.1131672   -2.415866e-18   7.5217781e-14   3.7593749e-17  -8.9989372e-35      0.48071365   0.00010530903  -8.2800006e-23      0.10128877   2.1432874e-06   9.8442022e-20       4298.8147
  0.00021886389      -1.3053186   -0.0011783278  -3.3072855e-20       2559.7397       1.3023546   1.8182521e-18   6.0744056e-14   2.6888392e-17  -4.3677122e-35      0.56234867   0.00014399159  -6.1058544e-23      0.10150969   3.8580623e-06   8.6353005e-19        2939.195
  0.00025268119      -1.5060151   -0.0015683663  -1.1160056e-20       2557.8513       1.5028637   1.6438765e-18  -3.5251004e-14  -2.2699801e-17   1.3278118e-35      0.64895271   0.00019166233   4.8260556e-23      0.10174544   6.7811838e-06   6.4589032e-18       2097.0548
  0.00028858087      -1.7185919    -0.002043111   1.6487231e-20        2555.521       1.7152449  -1.6265113e-18  -3.1454115e-14  -1.9696369e-17  -4.3639029e-36      0.74081407   0.00024969909   4.1837498e-23      0.10199749   1.1512934e-05   4.1855934e-17       1545.3095
  0.00032669115      -1.9435713   -0.0026151681   2.3075599e-20       2552.6292       1.9400256  -2.3862565e-18   4.7780178e-14   4.1192757e-17  -4.4435326e-35      0.83823273   0.00031966182  -8.6318851e-23      0.10226763   1.8891853e-05   2.3964995e-16       1167.9042
  0.00036714817      -2.1814291   -0.0032986728  -7.7364611e-23       2549.0279       2.1776828   1.0530816e-18   7.9544792e-14   6.5041759e-17  -8.0750559e-36      0.94151912   0.00040331237    -1.36589e-22      0.10255807   3.0070408e-05   1.2342606e-15       900.80877
  0.00041009642      -2.4325646   -0.0041094028  -1.6651428e-20       2544.5346       2.4286156     3.00051e-18  -7.0646203e-15  -1.1413652e-17  -9.4449551e-36       1.0509921   0.00050263494   2.5010193e-23      0.10287155     4.66143e-05   5.8053943e-15       706.50438
  0.00045568931      -2.6972628   -0.0050648666  -1.4815725e-20        2538.925        2.693108   1.7307943e-19  -5.3994055e-14  -5.6263518e-17  -7.6057891e-36       1.1669763   0.00061985677   1.2043977e-22      0.10321154   7.0631065e-05   2.5250934e-14       561.91197
  0.00050408968      -2.9756434   -0.0061843477   3.8228175e-21       2531.9256       2.9712788  -1.6656063e-18  -1.0807354e-14  -9.5546467e-18  -7.6342619e-37       1.2897977   0.00075746789   1.9668839e-23      0.10358244   0.00010493578   1.0260694e-13       452.25481
  0.00055547043      -3.2675949   -0.0074889042    2.514969e-20       2523.2038       3.2630167   5.6515476e-19   1.5185877e-14    1.829319e-17  -1.6674481e-35       1.4197787   0.00091823852  -3.9660737e-23      0.10398992   0.00015326392   3.9277475e-13       367.74896
  0.00061001506      -3.5726902   -0.0090012748   3.4800858e-20       2512.3576       3.5678972   1.7003998e-18  -2.7763892e-14  -4.3400821e-17   2.9249604e-36       1.5572304     0.001105232   1.0239656e-22      0.10444128   0.00022054417   1.4260046e-12       301.72886
   0.0006679184      -3.8900798    -0.010745624   1.6005711e-20       2498.9047       3.8850772  -4.6044641e-19  -4.0328241e-14  -6.0234376e-17   1.6181707e-36        1.702443      0.00132181   1.3955961e-22      0.10494603   0.00031324731   4.9373978e-12       249.54072
  0.00072938728      -4.2183572    -0.012747062  -2.1668829e-20       2482.2696       4.2131611  -1.2486935e-18   -8.387513e-15  -1.2483903e-17   1.5254017e-36       1.8556729    0.0015716267   2.8448513e-23      0.10551658   0.00043983196   1.6375714e-11       207.86535
  0.00079464125      -4.5553942    -0.015030883  -1.7852712e-20       2461.7715       4.5500361  -1.9231708e-19   2.3132822e-15   3.9421468e-18  -3.7673805e-36       2.0171267    0.0018586046  -9.8624968e-24       0.1061692   0.00061131329   5.2210169e-11        174.2909
