#             x      grad(U)_xx      grad(U)_xy      grad(U)_xz      grad(U)_yx      grad(U)_yy      grad(U)_yz      grad(U)_zx      grad(U)_zy      grad(U)_zz             U_x             U_y             U_z              kl              kt             nut           omega
   -0.046805254     0.010631057      0.16320302   1.5181968e-21  -0.00043588937    -0.014287761  -1.4379294e-20   1.7498851e-22  -2.6726364e-20  -1.5642592e-38       5.4000316   0.00048592181   3.7277044e-23      0.09983785     0.047159073   0.00017140517       23.746291
   -0.040820451     0.025832307      0.16194427   4.3431641e-20   -0.0016528608    -0.027323968   7.8608866e-22   3.1726181e-21  -2.4186635e-20    9.562751e-39       5.4001347    0.0014485019   3.5810457e-22     0.099531362     0.046270252   0.00016976882       23.270056
   -0.035593767      0.04371086      0.15969625   1.0228982e-20   -0.0039043613      -0.0432928   3.5307067e-21   1.0005725e-21  -3.3609809e-20  -4.2070026e-38       5.4003131     0.002297409   6.6340502e-22     0.099263456     0.045506355   0.00016833646       22.860212
   -0.031029167     0.057875759       0.1568329  -3.5538113e-20    -0.006815663    -0.057059633   -4.881225e-21  -8.9536256e-21  -4.9271472e-20  -6.2163173e-38       5.4005439    0.0030269242    5.841792e-22     0.099033855     0.044862946   0.00016711274       22.514539
   -0.027042782     0.069326298       0.1536525  -2.1900635e-20    -0.010043354    -0.068884316   -1.689418e-20   1.9434583e-20   1.4740137e-20   8.0338751e-38       5.4007965     0.003651778   3.8777155e-22     0.098836621     0.044318599   0.00016606632       22.221737
   -0.023561368     0.079164491      0.15034902  -3.2082547e-20    -0.013384447    -0.079010686  -2.9560493e-20   8.1373838e-20   1.3360254e-19  -1.7482785e-37       5.4010543    0.0041860295   3.6164335e-22     0.098666816     0.043856092   0.00016516884       21.972698
   -0.020520958      0.08777273      0.14704761   -1.070273e-19    -0.016714432      -0.0876627  -3.4430777e-20   4.2021314e-20   7.5836596e-20   2.2627163e-38       5.4013079    0.0046424115   2.3358595e-22     0.098520339     0.043461645   0.00016439729       21.760115
   -0.017865688     0.095176212      0.14384174  -8.8408261e-20    -0.019941016     -0.09504382  -2.5182684e-20  -1.2143378e-19  -1.7495601e-19   7.2849953e-37       5.4015512    0.0050321985  -1.5183726e-22     0.098393774     0.043124155   0.00016373318       21.578088
   -0.015546772      0.10144985      0.14079902    7.588402e-20    -0.022997948     -0.10133625  -3.6381079e-21  -1.6258913e-19  -2.4383936e-19  -4.8937159e-37       5.4017798    0.0053652396   -2.983554e-22     0.098284256     0.042834595   0.00016316092       21.421807
   -0.013521602      0.10676645      0.13796103    1.070601e-19    -0.025845214     -0.10670043   8.1811075e-21    3.586482e-20   2.0828308e-20  -1.3538973e-36       5.4019913    0.0056500351    1.786612e-23     0.098189372     0.042585569   0.00016266707       21.287325
   -0.011752967      0.11129969      0.13534806  -4.6305351e-20    -0.028463897     -0.11127566  -8.3006784e-22   9.9471125e-20   1.2270702e-19   1.1243302e-37       5.4021849    0.0058938507   1.5875997e-22      0.09810708     0.042370963   0.00016224025       21.171373
   -0.010208373      0.11517746      0.13296592  -5.1345242e-20    -0.030849259     -0.11518154  -2.9294527e-20  -4.7825519e-20  -3.8218405e-20   -1.884309e-37       5.4023606    0.0061028567  -2.2925846e-23     0.098035642     0.042185694   0.00016187088       21.071228
  -0.0088594378      0.11849462      0.13081106   2.5049167e-20    -0.033005597     -0.11851998  -2.3312908e-20  -1.5411696e-20  -4.0298442e-21  -1.0255669e-36       5.4025189    0.0062822739  -2.4333654e-23     0.097973579      0.04202551   0.00016155091       20.984609
  -0.0076813777      0.12133242      0.12887394  -9.1626143e-20    -0.034943005     -0.12137738   2.4309465e-20    2.291042e-20   3.0883394e-20  -5.1031696e-37       5.4026609    0.0064365114   1.8214463e-23     0.097919623     0.041886831   0.00016127347       20.909594
   -0.006652547      0.12376366      0.12714128  -6.5823241e-20    -0.036675175     -0.12382666   1.3602328e-20  -2.4389113e-19  -2.4588813e-19  -5.9633257e-37       5.4027876    0.0065692903  -1.7412978e-22     0.097872687     0.041766634    0.0001610327       20.844558
  -0.0057540422      0.12585083      0.12559774    3.069265e-19    -0.038217733     -0.12592932  -3.2588246e-20  -2.1054536e-19  -2.1271031e-19   2.8228663e-37       5.4029004    0.0066837522  -1.6071359e-22     0.097831837     0.041662353    0.0001608236        20.78812
  -0.0049693545      0.12764577      0.12422718   2.2985466e-19    -0.039587041     -0.12773713   -1.944105e-20   4.5992772e-19   4.3402264e-19  -9.1291017e-37       5.4030004    0.0067825515   2.3098021e-22     0.097796269     0.041571803   0.00016064188       20.739103
  -0.0042840662      0.12919149      0.12301344  -3.5942662e-19    -0.040799377      -0.1292937   3.2848514e-20   4.7829817e-19   4.5330554e-19  -1.1032469e-36       5.4030889    0.0068679347   2.5702535e-22     0.097765287     0.041493118   0.00016048385       20.696501
   -0.003685586       0.1305243      0.12194096  -1.6101616e-19    -0.041870426     -0.13063581   3.9903753e-20  -3.1680733e-19  -3.0326201e-19  -6.7822605e-37       5.4031671     0.006941806  -1.2008583e-22     0.097738291       0.0414247   0.00016034635        20.65945
  -0.0031629175        0.131675      0.12099499   3.3758167e-19    -0.042814972     -0.13179453  -3.9567253e-21  -1.5401429e-21  -2.9498548e-20  -5.9070141e-36        5.403236     0.007005783  -3.8342561e-23     0.097714761     0.041365174   0.00016022667       20.627212
  -0.0027064575      0.13266972      0.12016187   -2.829781e-19    -0.043646727     -0.13279611  -1.4459744e-21   5.4477784e-19    4.957516e-19   -7.904573e-37       5.4032967    0.0070612427   1.8236153e-22     0.097694247     0.041313361   0.00016012245       20.599146
  -0.0023078191      0.13353058      0.11942906  -7.3716075e-19     -0.04437826     -0.13366284   2.0198306e-20  -6.2420653e-19  -5.2857071e-19   2.8390474e-36       5.4033501    0.0071093596  -1.2880878e-22     0.097676359     0.041268242   0.00016003166       20.574704
  -0.0019596776      0.13427633      0.11878515   1.2326322e-19    -0.045020982     -0.13441362  -1.6985647e-20  -1.5835331e-18  -1.3851393e-18  -3.4758018e-36        5.403397    0.0071511375  -3.7620042e-22     0.097660757     0.041228937   0.00015995255       20.553409
  -0.0016556366      0.13492296      0.11821985   9.8653871e-19    -0.045585187     -0.13506458  -4.8425446e-20  -7.1455294e-19  -6.0251379e-19   1.5314632e-37       5.4034382    0.0071874362  -1.6442804e-22     0.097647147     0.041194687    0.0001598836       20.534852
  -0.0013901097      0.13548409      0.11772392   5.1943081e-19    -0.046080104     -0.13562944  -3.3765315e-20   9.3857245e-19    8.534278e-19  -1.7736355e-35       5.4034743    0.0072189935   1.5584357e-22     0.097635273     0.041164832   0.00015982348       20.518675
   -0.001158218       0.1359714      0.11728912  -4.6357652e-19    -0.046513973     -0.13611996   7.7878814e-21   9.7849444e-19   8.5353884e-19  -2.6179868e-35        5.403506    0.0072464435    1.671063e-22     0.097624912     0.041138803   0.00015977105        20.50457
   -0.000955701      0.13639487       0.1169081  -8.7437549e-20    -0.046894124     -0.13654622   2.5979879e-20  -1.1499454e-19  -1.3605893e-19  -5.1460761e-36       5.4035337    0.0072703323  -1.8206112e-23      0.09761587     0.041116104   0.00015972532       20.492268
 -0.00077883757      0.13676308      0.11657435   3.5460372e-19    -0.047227058     -0.13691684   1.2647404e-20    8.274354e-19   6.6998071e-19  -1.2256517e-35       5.4035581    0.0072911306   5.7445397e-23     0.097607979     0.041096306   0.00015968543       20.481539
 -0.00062437811      0.13708342      0.11628208  -7.9538786e-19    -0.047518529     -0.13723925   1.8724108e-20   1.2077717e-18   1.0095109e-18  -2.9574657e-36       5.4035793    0.0073092452   1.1568134e-22     0.097601092     0.041079035   0.00015965063       20.472178
 -0.00048948463      0.13736222      0.11602619  -1.0204003e-18    -0.047773616     -0.13751987   2.0872678e-20  -1.5842993e-18  -1.3655439e-18   6.8269746e-36        5.403598    0.0073250275  -9.7825425e-23      0.09759508     0.041063966   0.00015962027       20.464011
 -0.00037167862      0.13760497      0.11580216   5.1890116e-19    -0.047996798     -0.13776421  -1.0939557e-20  -2.6842231e-18  -2.2799172e-18  -2.0411289e-35       5.4036143    0.0073387819  -1.7347088e-22     0.097589832     0.041050817   0.00015959377       20.456884
 -0.00026879555       0.1378164      0.11560597   3.7120846e-19    -0.048192019     -0.13797703  -2.4621704e-20  -4.7370932e-19  -3.6077531e-19  -5.5058395e-35       5.4036285    0.0073507719  -3.0939649e-23      0.09758525     0.041039342   0.00015957064       20.450665
 -0.00017894507      0.13800059      0.11543396  -8.3891562e-19    -0.048362746     -0.13816247    5.756304e-21   -1.849035e-18  -1.4981655e-18  -3.5230994e-35        5.403641    0.0073612263   -5.789733e-23      0.09758125     0.041029328   0.00015955045       20.445236
  -0.0001004763        0.138161      0.11528283    4.864514e-19    -0.048512025     -0.13832409   1.5062835e-20  -4.5900679e-18  -3.8359763e-18   -2.774922e-36       5.4036519    0.0073703435  -1.6025426e-22     0.097577758     0.041020586   0.00015953284       20.440498
 -3.1947465e-05      0.13830134      0.11514915   2.2651776e-18    -0.048643465     -0.13846601   6.2201039e-21  -9.4530837e-19  -8.2857792e-19   1.9694889e-35       5.4036615    0.0073783538  -4.4012001e-23     0.097574686     0.041012898   0.00015951734       20.436331
  2.9991242e-05      0.13842822       0.1150277   1.5473841e-18    -0.048763113     -0.13859497   8.7146706e-21   4.5845252e-18   3.7459511e-18   4.1336927e-36       5.4036703    0.0073856336   1.1965196e-22     0.097571889       0.0410059   0.00015950324       20.432537
  9.0286504e-05      0.13855031      0.11491163  -4.5551001e-19    -0.048878306     -0.13871892   -3.844847e-21   5.8267436e-18   4.8212863e-18    -1.60518e-36       5.4036787    0.0073926321   1.5382534e-22     0.097569195      0.04099916   0.00015948966       20.428883
  0.00015121058      0.13867326      0.11479608  -1.0201331e-18    -0.048993655     -0.13884278  -1.3821877e-20    2.390064e-18   2.0323362e-18   9.8975791e-35       5.4036871    0.0073996283   6.3227957e-23     0.097566498     0.040992416   0.00015947606       20.425228
  0.00021277004      0.13879807       0.1146795  -9.8562446e-20    -0.049110303     -0.13896776   1.0309524e-21   1.0759968e-18   9.0657592e-19   -1.953356e-35       5.4036957    0.0074066903   3.0093104e-23     0.097563774     0.040985605   0.00015946233       20.421535
   0.0002749715      0.13892413      0.11456171  -7.1502587e-19    -0.049228267     -0.13909385   1.9646984e-20   1.8901079e-18   1.5431017e-18  -5.7751396e-35       5.4037043    0.0074138186   5.1957774e-23     0.097561022     0.040978725   0.00015944846       20.417806
  0.00033782165      0.13905122      0.11444264  -1.6020837e-18    -0.049347561     -0.13922106   6.2175831e-21  -2.1599366e-18  -1.7880597e-18   1.6495855e-34        5.403713    0.0074210139   -6.263257e-23     0.097558242     0.040971777   0.00015943444       20.414039
  0.00040132727      0.13917941      0.11432228   2.3020599e-19    -0.049468201     -0.13934941   -2.706644e-20  -5.2519755e-18  -4.2731201e-18   5.5740519e-35       5.4037219    0.0074282766   -1.505353e-22     0.097555434     0.040964758   0.00015942029       20.410234
  0.00046549519      0.13930875      0.11420061    2.146666e-18    -0.049590203     -0.13947889  -4.0070425e-20   -1.037312e-18  -7.1301113e-19  -5.1203161e-35       5.4037308    0.0074356072  -2.9137615e-23     0.097552597      0.04095767   0.00015940599       20.406391
  0.00053033231      0.13943926      0.11407761   6.8962363e-19    -0.049713584     -0.13960952  -2.1381428e-20   4.3246006e-18   3.6807392e-18   1.8676814e-35       5.4037398    0.0074430064   1.2738605e-22     0.097549731     0.040950511   0.00015939155        20.40251
  0.00059584562      0.13957091      0.11395326  -1.3093468e-18    -0.049838358     -0.13974131   6.9821522e-21   1.9538257e-18   1.6357688e-18   -1.167035e-34        5.403749    0.0074504747   5.6764556e-23     0.097546836      0.04094328   0.00015937697        20.39859
  0.00066204216      0.13970373      0.11382753  -7.8208911e-19    -0.049964544     -0.13987426   1.3446864e-20  -1.4993025e-18  -1.2370929e-18  -1.0158092e-34       5.4037582    0.0074580126  -4.5393621e-23     0.097543911     0.040935977   0.00015936224        20.39463
  0.00072892907      0.13983772       0.1137004  -2.8854371e-19    -0.050092157     -0.14000838   7.3527114e-21  -1.4649766e-18  -1.2025066e-18   5.9364206e-35       5.4037676    0.0074656206  -4.5182281e-23     0.097540956     0.040928601   0.00015934736       20.390631
  0.00079651354      0.13997288      0.11357187   -2.428101e-19    -0.050221214     -0.14014368   2.1041995e-21  -2.6983003e-18  -2.2345329e-18    1.199213e-34        5.403777    0.0074732993  -8.5139781e-23     0.097537971     0.040921151   0.00015933233       20.386592
  0.00086480285      0.14010921      0.11344189   5.7019186e-19    -0.050351733     -0.14028016  -3.4015961e-21  -2.4539256e-18  -2.0900315e-18   1.3554304e-35       5.4037866    0.0074810493  -7.6967504e-23     0.097534956     0.040913627   0.00015931715       20.382513
  0.00093380434      0.14024674      0.11331047   1.0056954e-18    -0.050483731     -0.14041783   8.5562546e-22  -1.8922354e-19  -2.2529057e-19  -9.4011948e-35       5.4037963    0.0074888711  -5.0407502e-24      0.09753191     0.040906028   0.00015930182       20.378393
   0.0010035254      0.14038545      0.11317756   1.1145134e-18    -0.050617225      -0.1405567   7.6702003e-21    1.880357e-18   1.5304834e-18  -1.3081633e-35        5.403806    0.0074967653   6.1960261e-23     0.097528833     0.040898353   0.00015928634       20.374231
   0.0010739737      0.14052537      0.11304316   3.9350369e-19    -0.050752233     -0.14069677   1.6329741e-20    4.508438e-18   3.6027986e-18   1.0546291e-34       5.4038159    0.0075047324   1.5176623e-22     0.097525725     0.040890602    0.0001592707       20.370028
   0.0011451566      0.14066649      0.11290725  -1.6981529e-18    -0.050888773     -0.14083806   4.1425995e-20   3.4345004e-18   2.6529641e-18  -1.7698861e-35       5.4038259    0.0075127729   1.1637538e-22     0.097522585     0.040882773    0.0001592549       20.365784
   0.0012170819      0.14080883      0.11276979  -2.0596985e-18    -0.051026863     -0.14098057   2.3672584e-20  -2.7312887e-18  -2.2486084e-18  -6.1728675e-35       5.4038361    0.0075208875  -9.5005981e-23     0.097519413     0.040874867   0.00015923895       20.361496
   0.0012897573       0.1409524      0.11263078   7.0456792e-20    -0.051166522     -0.14112431  -4.0250222e-20  -5.1635433e-18  -4.0462065e-18   1.9031231e-34       5.4038463    0.0075290766  -1.8099809e-22     0.097516209     0.040866881   0.00015922283       20.357166
   0.0013631906      0.14109719      0.11249019   1.2996958e-18    -0.051307767     -0.14126928  -5.0702616e-20  -2.3044624e-18   -1.660172e-18  -3.4009209e-35       5.4038567    0.0075373409  -8.2806816e-23     0.097512972     0.040858817   0.00015920656       20.352793
   0.0014373898      0.14124322        0.112348   7.2912735e-19    -0.051450618     -0.14141549  -8.9997811e-21   3.2168701e-19     3.49984e-19  -1.5834785e-34       5.4038671    0.0075456809   1.1401285e-23     0.097509703     0.040850672   0.00015919012       20.348377
   0.0015123628       0.1413905      0.11220419  -1.5747265e-19    -0.051595093     -0.14156295   1.4009088e-20    7.064997e-19   5.0713642e-19   1.2322461e-35       5.4038777    0.0075540972   2.6498936e-23       0.0975064     0.040842446   0.00015917352       20.343916
   0.0015881177      0.14153903      0.11205874  -9.2846434e-19    -0.051741213     -0.14171167   9.2793328e-21  -3.4560433e-19   -3.383624e-19  -5.8139933e-36       5.4038884    0.0075625902   -1.267777e-23     0.097503063     0.040834139   0.00015915675       20.339411
   0.0016646626      0.14168881      0.11191163  -8.4161246e-19    -0.051888996     -0.14186165   4.7275177e-21  -3.0776229e-18  -2.4391764e-18  -4.9150566e-36       5.4038993    0.0075711607  -1.1662393e-22     0.097499692     0.040825749   0.00015913982       20.334862
   0.0017420058      0.14183987      0.11176283   1.0235493e-18    -0.052038461      -0.1420129   6.5699936e-21   -3.707967e-18  -2.9556656e-18   3.9109293e-36       5.4039102    0.0075798091  -1.4105195e-22     0.097496288     0.040817276   0.00015912272       20.330267
   0.0018201557      0.14199219      0.11161234   2.7899763e-18     -0.05218963     -0.14216542  -1.5564571e-21   1.1503564e-18   8.4761177e-19     4.62232e-35       5.4039213     0.007588536   4.6629406e-23     0.097492848     0.040808719   0.00015910545       20.325626
   0.0018991205       0.1421458      0.11146011   1.3177091e-18    -0.052342522     -0.14231922  -1.2602511e-20   7.5397411e-18    5.920001e-18  -2.3413846e-35       5.4039325    0.0075973419   2.9885087e-22     0.097489374     0.040800077     0.000159088       20.320939
   0.0019789089       0.1423007      0.11130615   -2.242285e-18    -0.052497157     -0.14247432   1.4047756e-22   6.3019618e-18   4.9536175e-18  -3.6981993e-35       5.4039439    0.0076062275    2.501567e-22     0.097485864     0.040791349   0.00015907038       20.316206
   0.0020595294      0.14245689      0.11115042  -2.3286748e-18    -0.052653556      -0.1426307   6.5113557e-21  -1.5841822e-18  -1.2766618e-18  -1.3769067e-35       5.4039554    0.0076151933  -6.6359279e-23     0.097482319     0.040782535   0.00015905259       20.311426
   0.0021409906      0.14261439       0.1109929   2.3554123e-19    -0.052811739     -0.14278839  -5.4096669e-21  -3.0016308e-18  -2.3323811e-18  -1.0401308e-35        5.403967    0.0076242398  -1.2285706e-22     0.097478738     0.040773634   0.00015903462       20.306598
   0.0022233015       0.1427732      0.11083357    7.605495e-19    -0.052971729     -0.14294739   1.7845698e-23  -5.8941241e-19  -3.8345177e-19   5.0407923e-35       5.4039787    0.0076333676  -2.4954962e-23      0.09747512     0.040764645   0.00015901647       20.301723
   0.0023064707      0.14293332      0.11067241   1.6478127e-20    -0.053133546      -0.1431077   1.0412761e-20   3.9939939e-20   4.6439735e-20   3.2197365e-35       5.4039906    0.0076425773   1.8036057e-24     0.097471466     0.040755567   0.00015899814       20.296799
   0.0023905073      0.14309476       0.1105094  -8.5262335e-19    -0.053297211     -0.14326933   1.4612065e-20  -5.2309308e-19  -4.4628153e-19   2.1588805e-35       5.4040026    0.0076518694   -2.245217e-23     0.097467775     0.040746399   0.00015897963       20.291827
