# y+ ()         
# Time          	patch           	min             	max             	average         
0               	lowerWall	1.66077422e-01	1.66077422e-01	1.66077422e-01
1               	lowerWall	1.23534353e-01	1.23563972e-01	1.23553131e-01
2               	lowerWall	1.18275635e-01	1.18398459e-01	1.18393667e-01
3               	lowerWall	1.16900564e-01	1.17835924e-01	1.17817226e-01
4               	lowerWall	1.17088421e-01	1.17745840e-01	1.17710565e-01
5               	lowerWall	1.16209366e-01	1.17705058e-01	1.17649703e-01
6               	lowerWall	1.15920089e-01	1.17675124e-01	1.17602122e-01
7               	lowerWall	1.15523304e-01	1.17662842e-01	1.17564219e-01
8               	lowerWall	1.14949668e-01	1.17667875e-01	1.17535470e-01
9               	lowerWall	1.14427646e-01	1.17674314e-01	1.17515626e-01
10              	lowerWall	1.13961226e-01	1.17680896e-01	1.17502965e-01
11              	lowerWall	1.13702098e-01	1.17687023e-01	1.17496429e-01
12              	lowerWall	1.13513153e-01	1.17692676e-01	1.17494247e-01
13              	lowerWall	1.13409584e-01	1.17697867e-01	1.17495340e-01
14              	lowerWall	1.13337276e-01	1.17702583e-01	1.17498668e-01
15              	lowerWall	1.13291649e-01	1.17706791e-01	1.17503532e-01
16              	lowerWall	1.13258033e-01	1.17710556e-01	1.17509387e-01
17              	lowerWall	1.13232788e-01	1.17713919e-01	1.17515841e-01
18              	lowerWall	1.13211872e-01	1.17716892e-01	1.17522618e-01
19              	lowerWall	1.13193348e-01	1.17719556e-01	1.17529516e-01
20              	lowerWall	1.13176207e-01	1.17721918e-01	1.17536402e-01
21              	lowerWall	1.13159642e-01	1.17724027e-01	1.17543180e-01
22              	lowerWall	1.13143461e-01	1.17725915e-01	1.17549790e-01
23              	lowerWall	1.13127420e-01	1.17727599e-01	1.17556194e-01
24              	lowerWall	1.13111542e-01	1.17729123e-01	1.17562372e-01
25              	lowerWall	1.13095825e-01	1.17730488e-01	1.17568315e-01
26              	lowerWall	1.13080351e-01	1.17731729e-01	1.17574023e-01
27              	lowerWall	1.13065203e-01	1.17732852e-01	1.17579502e-01
28              	lowerWall	1.13050472e-01	1.17733875e-01	1.17584761e-01
29              	lowerWall	1.13036246e-01	1.17734816e-01	1.17589813e-01
30              	lowerWall	1.13022602e-01	1.17735675e-01	1.17594672e-01
31              	lowerWall	1.13009611e-01	1.17736475e-01	1.17599353e-01
32              	lowerWall	1.12997325e-01	1.17737216e-01	1.17603871e-01
33              	lowerWall	1.12985790e-01	1.17737908e-01	1.17608240e-01
