# Selection     : all 
# Volume        : 5.16250000e-02
# Time          	max(p)	location	cell	max(nut)	location	cell
0               	8.50000000e+04	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0	4.55931239e-03	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
4.44247e-06     	8.57901812e+04	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	3.59184730e-05	(2.88500438e+00 5.33941767e-05 5.00000000e-02)	5474
8.51067e-06     	8.49998990e+04	(2.88500438e+00 6.03375212e-03 5.00000000e-02)	33674	2.74234682e-06	(2.88500438e+00 5.33941767e-05 5.00000000e-02)	5474
1.24136e-05     	8.49998825e+04	(2.88500438e+00 5.77388473e-02 5.00000000e-02)	55874	3.05004396e-06	(2.88500438e+00 7.70222946e-05 5.00000000e-02)	6074
1.62242e-05     	8.49998955e+04	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	3.21774102e-06	(2.88500438e+00 7.70222946e-05 5.00000000e-02)	6074
1.99537e-05     	8.49999149e+04	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	2.95323531e-06	(2.88500438e+00 7.70222946e-05 5.00000000e-02)	6074
2.36214e-05     	8.49999338e+04	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	2.51467527e-06	(2.88500438e+00 7.70222946e-05 5.00000000e-02)	6074
2.72426e-05     	8.49999502e+04	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	2.02803707e-06	(2.88500438e+00 7.70222946e-05 5.00000000e-02)	6074
3.08287e-05     	8.50017234e+04	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	1.55034681e-06	(2.88500438e+00 7.70222946e-05 5.00000000e-02)	6074
3.43916e-05     	8.50036101e+04	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	1.16690515e-06	(7.48814829e-02 7.70222946e-05 5.00000000e-02)	5729
3.79406e-05     	8.50051704e+04	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	1.26574723e-06	(8.09553253e-02 7.70222946e-05 5.00000000e-02)	5736
4.14833e-05     	8.50064622e+04	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	1.35222802e-06	(8.74866920e-02 7.70222946e-05 5.00000000e-02)	5743
4.5026e-05      	8.50075343e+04	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	1.42688651e-06	(9.34752135e-02 7.70222946e-05 5.00000000e-02)	5749
4.85763e-05     	8.50084272e+04	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	1.49062502e-06	(9.87584348e-02 7.70222946e-05 5.00000000e-02)	5754
5.2138e-05      	8.50091728e+04	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	1.54441531e-06	(1.04322956e-01 7.70222946e-05 5.00000000e-02)	5759
5.57151e-05     	8.50097977e+04	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	1.65930085e-06	(1.73498369e-01 1.02105369e-04 5.00000000e-02)	6406
5.92845e-05     	8.50103196e+04	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	1.78642120e-06	(2.01520175e-01 1.02105369e-04 5.00000000e-02)	6420
