# Selection     : all 
# Volume        : 5.16250000e-02
# Time          	maxMag(U)	location	cell
0               	5.40000000e+00	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0
4.44247e-06     	5.47268906e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34
8.51067e-06     	5.58692079e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34
1.24136e-05     	5.70684308e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34
1.62242e-05     	5.81767256e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34
1.99537e-05     	5.91265861e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34
2.36214e-05     	5.98966429e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34
2.72426e-05     	6.04859625e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34
3.08287e-05     	6.09032707e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34
3.43916e-05     	6.11629098e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34
3.79406e-05     	6.12820540e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34
4.14833e-05     	6.12797807e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34
4.5026e-05      	6.11763808e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34
4.85763e-05     	6.09923753e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34
5.2138e-05      	6.07485717e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34
5.57151e-05     	6.04654641e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34
5.92845e-05     	6.01649935e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34
6.285e-05       	5.98617453e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34
6.64155e-05     	5.95718314e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34
6.99862e-05     	5.96756585e+00	(-1.78945070e-04 1.01701236e-05 5.00000000e-02)	32
7.35659e-05     	5.98563080e+00	(-1.78945070e-04 1.01701236e-05 5.00000000e-02)	32
7.71572e-05     	5.99712557e+00	(-1.78945070e-04 1.01701236e-05 5.00000000e-02)	32
8.07616e-05     	6.00219630e+00	(-1.78945070e-04 1.01701236e-05 5.00000000e-02)	32
8.43791e-05     	6.00118750e+00	(-1.78945070e-04 1.01701236e-05 5.00000000e-02)	32
8.80112e-05     	5.99463007e+00	(-1.78945070e-04 1.01701236e-05 5.00000000e-02)	32
9.16553e-05     	5.98321810e+00	(-1.78945070e-04 1.01701236e-05 5.00000000e-02)	32
9.53088e-05     	5.96783108e+00	(-1.78945070e-04 1.01701236e-05 5.00000000e-02)	32
9.89691e-05     	5.94942442e+00	(-1.78945070e-04 1.01701236e-05 5.00000000e-02)	32
0.000102633     	5.92901338e+00	(-1.78945070e-04 1.01701236e-05 5.00000000e-02)	32
0.000106298     	5.90765675e+00	(-1.78945070e-04 1.01701236e-05 5.00000000e-02)	32
0.00010995      	5.89203933e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34
0.000113591     	5.90081458e+00	(-3.71678618e-04 1.01701236e-05 5.00000000e-02)	30
0.000117223     	5.91837782e+00	(-3.71678618e-04 1.01701236e-05 5.00000000e-02)	30
0.000120849     	5.93236678e+00	(-3.71678618e-04 1.01701236e-05 5.00000000e-02)	30
0.000124469     	5.94273418e+00	(-3.71678618e-04 1.01701236e-05 5.00000000e-02)	30
0.000128086     	5.94950726e+00	(-3.71678618e-04 1.01701236e-05 5.00000000e-02)	30
0.000131694     	5.95277743e+00	(-3.71678618e-04 1.01701236e-05 5.00000000e-02)	30
0.000135296     	5.95272860e+00	(-3.71678618e-04 1.01701236e-05 5.00000000e-02)	30
0.000138891     	5.94960402e+00	(-3.71678618e-04 1.01701236e-05 5.00000000e-02)	30
0.000142483     	5.94369628e+00	(-3.71678618e-04 1.01701236e-05 5.00000000e-02)	30
0.000146074     	5.93534281e+00	(-3.71678618e-04 1.01701236e-05 5.00000000e-02)	30
0.000149667     	5.92491420e+00	(-3.71678618e-04 1.01701236e-05 5.00000000e-02)	30
0.000153264     	5.91280158e+00	(-3.71678618e-04 1.01701236e-05 5.00000000e-02)	30
0.000156867     	5.89941871e+00	(-3.71678618e-04 1.01701236e-05 5.00000000e-02)	30
0.00016048      	5.88519440e+00	(-3.71678618e-04 1.01701236e-05 5.00000000e-02)	30
0.000164101     	5.87055095e+00	(-3.71678618e-04 1.01701236e-05 5.00000000e-02)	30
0.000167732     	5.86101454e+00	(-6.24378114e-04 1.01701236e-05 5.00000000e-02)	28
0.000171373     	5.87797758e+00	(-6.24378114e-04 1.01701236e-05 5.00000000e-02)	28
0.000175024     	5.89315903e+00	(-6.24378114e-04 1.01701236e-05 5.00000000e-02)	28
0.000178684     	5.90643784e+00	(-6.24378114e-04 1.01701236e-05 5.00000000e-02)	28
0.00018235      	5.91771661e+00	(-6.24378114e-04 1.01701236e-05 5.00000000e-02)	28
0.00018602      	5.92692815e+00	(-6.24378114e-04 1.01701236e-05 5.00000000e-02)	28
0.000189693     	5.93405328e+00	(-6.24378114e-04 1.01701236e-05 5.00000000e-02)	28
0.000193366     	5.93908366e+00	(-6.24378114e-04 1.01701236e-05 5.00000000e-02)	28
0.000197036     	5.94204993e+00	(-6.24378114e-04 1.01701236e-05 5.00000000e-02)	28
0.000200702     	5.94301707e+00	(-6.24378114e-04 1.01701236e-05 5.00000000e-02)	28
0.000204361     	5.94207981e+00	(-6.24378114e-04 1.01701236e-05 5.00000000e-02)	28
0.000208013     	5.93935759e+00	(-6.24378114e-04 1.01701236e-05 5.00000000e-02)	28
0.000211658     	5.93499308e+00	(-6.24378114e-04 1.01701236e-05 5.00000000e-02)	28
0.000215294     	5.92914618e+00	(-6.24378114e-04 1.01701236e-05 5.00000000e-02)	28
0.000218922     	5.92199056e+00	(-6.24378114e-04 1.01701236e-05 5.00000000e-02)	28
0.000222542     	5.91371037e+00	(-6.24378114e-04 1.01701236e-05 5.00000000e-02)	28
0.000226156     	5.90448394e+00	(-6.24378114e-04 1.01701236e-05 5.00000000e-02)	28
0.000229765     	5.89451931e+00	(-6.24378114e-04 1.01701236e-05 5.00000000e-02)	28
0.000233372     	5.88400136e+00	(-6.24378114e-04 1.01701236e-05 5.00000000e-02)	28
0.000236979     	5.87311500e+00	(-6.24378114e-04 1.01701236e-05 5.00000000e-02)	28
0.000240585     	5.86205077e+00	(-6.24378114e-04 1.01701236e-05 5.00000000e-02)	28
0.000244194     	5.87073069e+00	(-9.55700999e-04 1.01701236e-05 5.00000000e-02)	26
0.000247808     	5.88445834e+00	(-9.55700999e-04 1.01701236e-05 5.00000000e-02)	26
0.000251428     	5.89719641e+00	(-9.55700999e-04 1.01701236e-05 5.00000000e-02)	26
0.000255054     	5.90887493e+00	(-9.55700999e-04 1.01701236e-05 5.00000000e-02)	26
0.000258689     	5.91944521e+00	(-9.55700999e-04 1.01701236e-05 5.00000000e-02)	26
0.000262332     	5.92885850e+00	(-9.55700999e-04 1.01701236e-05 5.00000000e-02)	26
0.000265983     	5.93707360e+00	(-9.55700999e-04 1.01701236e-05 5.00000000e-02)	26
0.000269643     	5.94406155e+00	(-9.55700999e-04 1.01701236e-05 5.00000000e-02)	26
0.00027331      	5.94980235e+00	(-9.55700999e-04 1.01701236e-05 5.00000000e-02)	26
0.000276985     	5.95428247e+00	(-9.55700999e-04 1.01701236e-05 5.00000000e-02)	26
0.000280664     	5.95750001e+00	(-9.55700999e-04 1.01701236e-05 5.00000000e-02)	26
0.000284347     	5.95946832e+00	(-9.55700999e-04 1.01701236e-05 5.00000000e-02)	26
0.000288033     	5.96021090e+00	(-9.55700999e-04 1.01701236e-05 5.00000000e-02)	26
0.00029172      	5.95976300e+00	(-9.55700999e-04 1.01701236e-05 5.00000000e-02)	26
0.000295405     	5.95817193e+00	(-9.55700999e-04 1.01701236e-05 5.00000000e-02)	26
0.000299088     	5.95549596e+00	(-9.55700999e-04 1.01701236e-05 5.00000000e-02)	26
0.000302769     	5.95180115e+00	(-9.55700999e-04 1.01701236e-05 5.00000000e-02)	26
0.000306445     	5.94716267e+00	(-9.55700999e-04 1.01701236e-05 5.00000000e-02)	26
0.000310115     	5.94166340e+00	(-9.55700999e-04 1.01701236e-05 5.00000000e-02)	26
0.00031378      	5.93539031e+00	(-9.55700999e-04 1.01701236e-05 5.00000000e-02)	26
0.000317438     	5.92843606e+00	(-9.55700999e-04 1.01701236e-05 5.00000000e-02)	26
0.00032109      	5.92088954e+00	(-9.55700999e-04 1.01701236e-05 5.00000000e-02)	26
0.000324737     	5.91285248e+00	(-9.55700999e-04 1.01701236e-05 5.00000000e-02)	26
0.000328378     	5.90442043e+00	(-9.55700999e-04 1.01701236e-05 5.00000000e-02)	26
0.000332014     	5.89569003e+00	(-9.55700999e-04 1.01701236e-05 5.00000000e-02)	26
0.000335646     	5.88675429e+00	(-9.55700999e-04 1.01701236e-05 5.00000000e-02)	26
0.000339275     	5.88031033e+00	(-1.39010968e-03 1.01701236e-05 5.00000000e-02)	24
0.000342902     	5.89259993e+00	(-1.39010968e-03 1.01701236e-05 5.00000000e-02)	24
0.000346527     	5.90432694e+00	(-1.39010968e-03 1.01701236e-05 5.00000000e-02)	24
0.000350152     	5.91546086e+00	(-1.39010968e-03 1.01701236e-05 5.00000000e-02)	24
0.000353777     	5.92596907e+00	(-1.39010968e-03 1.01701236e-05 5.00000000e-02)	24
0.000357403     	5.93582511e+00	(-1.39010968e-03 1.01701236e-05 5.00000000e-02)	24
0.000361032     	5.94500459e+00	(-1.39010968e-03 1.01701236e-05 5.00000000e-02)	24
0.000364664     	5.95348192e+00	(-1.39010968e-03 1.01701236e-05 5.00000000e-02)	24
0.0003683       	5.96123743e+00	(-1.39010968e-03 1.01701236e-05 5.00000000e-02)	24
