# Selection     : all 
# Volume        : 5.16250000e-02
# Time          	min(p)	location	cell	min(nut)	location	cell
0               	8.50000000e+04	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0	0.00000000e+00	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0
4.44247e-06     	8.50043541e+04	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	2.53483835e-13	(4.69441972e-02 1.87008177e-04 5.00000000e-02)	8088
8.51067e-06     	8.49842704e+04	(1.18916810e-01 1.01701236e-05 5.00000000e-02)	3971	2.73249271e-14	(1.83042338e-01 2.52681188e-04 5.00000000e-02)	9411
1.24136e-05     	8.49815344e+04	(9.76797523e-02 1.01701236e-05 5.00000000e-02)	3953	2.09236360e-14	(1.46081492e-01 2.52681188e-04 5.00000000e-02)	9390
1.62242e-05     	8.49838019e+04	(1.08987146e-01 1.01701236e-05 5.00000000e-02)	3963	4.59516705e-14	(1.59221359e-01 2.52681188e-04 5.00000000e-02)	9398
1.99537e-05     	8.49871742e+04	(1.35445541e-01 1.01701236e-05 5.00000000e-02)	3983	4.54733244e-15	(1.91042109e-01 2.88580868e-04 5.00000000e-02)	10015
2.36214e-05     	8.49904035e+04	(1.77256652e-01 1.01701236e-05 5.00000000e-02)	4008	3.18004183e-14	(2.41499721e-01 2.88580868e-04 5.00000000e-02)	10037
2.72426e-05     	8.49931614e+04	(2.51976509e-01 1.01701236e-05 5.00000000e-02)	4041	1.09192588e-14	(3.11407825e-01 3.26691153e-04 5.00000000e-02)	10661
3.08287e-05     	8.49954127e+04	(3.64813488e-01 1.01701236e-05 5.00000000e-02)	4076	6.99560057e-14	(4.13943603e-01 3.26691153e-04 5.00000000e-02)	10688
3.43916e-05     	8.49972047e+04	(5.32608691e-01 1.01701236e-05 5.00000000e-02)	4112	6.82311116e-14	(5.67186592e-01 3.67148169e-04 5.00000000e-02)	11318
3.79406e-05     	8.49985868e+04	(8.01109773e-01 1.01701236e-05 5.00000000e-02)	4151	5.92728331e-14	(8.18027008e-01 3.67148169e-04 5.00000000e-02)	11353
4.14833e-05     	8.49995668e+04	(1.33572396e+00 1.01701236e-05 5.00000000e-02)	4200	5.26026141e-14	(1.33572396e+00 3.67148169e-04 5.00000000e-02)	11400
4.5026e-05      	8.49999996e+04	(2.85516791e+00 1.01701236e-05 5.00000000e-02)	4273	8.55136806e-14	(2.88500438e+00 6.67918404e-04 5.00000000e-02)	15074
4.85763e-05     	8.50000055e+04	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274	2.52531533e-13	(1.79165240e-01 3.26691153e-04 5.00000000e-02)	10609
5.2138e-05      	8.50000105e+04	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274	3.72344519e-13	(1.62680299e-01 3.26691153e-04 5.00000000e-02)	10600
5.57151e-05     	8.50000147e+04	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274	1.45678981e-12	(1.49264933e-01 3.26691153e-04 5.00000000e-02)	10592
5.92845e-05     	8.50000183e+04	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274	1.15086245e-12	(1.83042338e-01 3.67148169e-04 5.00000000e-02)	11211
6.285e-05       	8.50000214e+04	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274	7.58550926e-13	(1.83042338e-01 3.67148169e-04 5.00000000e-02)	11211
6.64155e-05     	8.50000241e+04	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274	3.45289641e-13	(1.83042338e-01 3.67148169e-04 5.00000000e-02)	11211
6.99862e-05     	8.50000264e+04	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274	2.11787104e-13	(1.89010935e-01 3.67148169e-04 5.00000000e-02)	11214
7.35659e-05     	8.50000285e+04	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274	2.39373789e-13	(1.87000726e-01 3.67148169e-04 5.00000000e-02)	11213
7.71572e-05     	8.50000302e+04	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274	1.21595973e-12	(1.87000726e-01 3.67148169e-04 5.00000000e-02)	11213
8.07616e-05     	8.50000318e+04	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274	1.49497300e-12	(2.38947757e-01 4.10096419e-04 5.00000000e-02)	11836
