# Selection     : all 
# Volume        : 5.16250000e-02
# Time          	minMag(U)	location	cell
0               	5.40000000e+00	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0
4.44247e-06     	1.13203781e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
8.51067e-06     	1.03334726e-03	(1.26790925e+00 3.11366197e-05 5.00000000e-02)	4795
1.24136e-05     	1.80658177e-04	(1.16646390e+00 3.11366197e-05 5.00000000e-02)	4787
1.62242e-05     	1.57715975e-03	(1.51357897e+00 3.11366197e-05 5.00000000e-02)	4812
1.99537e-05     	1.58956395e-04	(2.57322684e+00 3.11366197e-05 5.00000000e-02)	4863
2.36214e-05     	1.09849623e-03	(2.41499721e-01 1.01701236e-05 5.00000000e-02)	4037
2.72426e-05     	2.67468538e-04	(3.11407825e-01 1.01701236e-05 5.00000000e-02)	4061
3.08287e-05     	1.43091081e-03	(4.13943603e-01 1.01701236e-05 5.00000000e-02)	4088
3.43916e-05     	1.16154867e-03	(5.67186592e-01 1.01701236e-05 5.00000000e-02)	4118
3.79406e-05     	8.91600201e-04	(8.18027008e-01 1.01701236e-05 5.00000000e-02)	4153
4.14833e-05     	7.09161798e-04	(1.33572396e+00 1.01701236e-05 5.00000000e-02)	4200
4.5026e-05      	2.18686167e-03	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
4.85763e-05     	7.07473553e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
5.2138e-05      	1.29072197e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
5.57151e-05     	1.78966472e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
5.92845e-05     	2.21573718e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
6.285e-05       	2.58175574e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
6.64155e-05     	2.89789864e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
6.99862e-05     	3.17238803e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
7.35659e-05     	3.41172905e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
7.71572e-05     	3.62112681e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
8.07616e-05     	3.80479338e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
8.43791e-05     	3.96617523e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
8.80112e-05     	4.10822136e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
