# y+ ()         
# Time          	patch           	min             	max             	average         
0               	lowerWall	3.24032312e+00	5.00939664e+01	1.57511022e+01
0.01            	lowerWall	3.29677766e-01	1.79811311e+00	3.86935887e-01
0.02            	lowerWall	2.84431629e-01	1.67283543e+00	3.48538836e-01
0.03            	lowerWall	2.62324810e-01	1.76369921e+00	3.33723043e-01
0.04            	lowerWall	2.48303326e-01	1.75683881e+00	3.23933050e-01
0.05            	lowerWall	2.38378200e-01	1.75518626e+00	3.16904024e-01
0.06            	lowerWall	2.30938082e-01	1.75629447e+00	3.11969432e-01
0.07            	lowerWall	2.25007579e-01	1.75473147e+00	3.08093843e-01
0.08            	lowerWall	2.20255498e-01	1.75538574e+00	3.05020713e-01
0.09            	lowerWall	2.16203927e-01	1.75546023e+00	3.02508815e-01
0.1             	lowerWall	2.12838580e-01	1.75542330e+00	3.00406080e-01
0.11            	lowerWall	2.09791975e-01	1.75545300e+00	2.98628767e-01
0.12            	lowerWall	2.07189413e-01	1.75541966e+00	2.97103206e-01
0.13            	lowerWall	2.04904810e-01	1.75542152e+00	2.95780583e-01
0.14            	lowerWall	2.02775518e-01	1.75542228e+00	2.94623392e-01
0.15            	lowerWall	2.00902451e-01	1.75542131e+00	2.93602720e-01
0.16            	lowerWall	1.99236005e-01	1.75542190e+00	2.92696548e-01
0.17            	lowerWall	1.97660668e-01	1.75542125e+00	2.91887195e-01
0.18            	lowerWall	1.96211842e-01	1.75542108e+00	2.91160553e-01
0.19            	lowerWall	1.94902842e-01	1.75542100e+00	2.90505153e-01
