# y+ ()         
# Time          	patch           	min             	max             	average         
0               	lowerWall	3.24032312e+00	5.00939664e+01	1.57511022e+01
4.44247e-06     	lowerWall	3.39528635e-01	2.07674233e+00	1.19131274e+00
8.51067e-06     	lowerWall	4.46290144e-02	1.95028034e+00	1.07690457e+00
1.24136e-05     	lowerWall	3.57167258e-02	1.89091232e+00	1.05520523e+00
1.62242e-05     	lowerWall	6.13873547e-02	1.86230170e+00	1.00118374e+00
1.99537e-05     	lowerWall	1.38367849e-02	1.84967879e+00	9.43893468e-01
2.36214e-05     	lowerWall	3.34243084e-02	1.84583708e+00	8.93035257e-01
2.72426e-05     	lowerWall	1.64929929e-02	1.84695333e+00	8.50518899e-01
3.08287e-05     	lowerWall	3.81477938e-02	1.85075256e+00	8.16334494e-01
3.43916e-05     	lowerWall	3.43701828e-02	1.85576082e+00	7.90099749e-01
3.79406e-05     	lowerWall	3.01125967e-02	1.86097618e+00	7.72339930e-01
4.14833e-05     	lowerWall	2.68556576e-02	1.86571315e+00	7.65686968e-01
4.5026e-05      	lowerWall	4.71600005e-02	1.86951874e+00	7.83109533e-01
4.85763e-05     	lowerWall	2.68237400e-01	1.87211935e+00	8.12362943e-01
5.2138e-05      	lowerWall	3.62311181e-01	1.87338257e+00	8.29799876e-01
5.57151e-05     	lowerWall	4.26630986e-01	1.87329266e+00	8.41696135e-01
5.92845e-05     	lowerWall	4.74708293e-01	1.87194382e+00	8.49994239e-01
6.285e-05       	lowerWall	5.12420335e-01	1.86949242e+00	8.55795455e-01
6.64155e-05     	lowerWall	5.42889439e-01	1.86615126e+00	8.59774453e-01
6.99862e-05     	lowerWall	5.68020349e-01	1.86215494e+00	8.62380449e-01
7.35659e-05     	lowerWall	5.89059117e-01	1.85774866e+00	8.63926087e-01
7.71572e-05     	lowerWall	6.06868063e-01	1.85317632e+00	8.64637818e-01
8.07616e-05     	lowerWall	6.22069182e-01	1.84866898e+00	8.64684948e-01
8.43791e-05     	lowerWall	6.35125812e-01	1.84443395e+00	8.64197509e-01
8.80112e-05     	lowerWall	6.46399982e-01	1.84064249e+00	8.63276990e-01
9.16553e-05     	lowerWall	6.56165722e-01	1.83742831e+00	8.62004923e-01
9.53088e-05     	lowerWall	6.64644643e-01	1.83487844e+00	8.60447725e-01
9.89691e-05     	lowerWall	6.72018332e-01	1.83302952e+00	8.58659931e-01
0.000102633     	lowerWall	6.78437251e-01	1.83187016e+00	8.56686632e-01
0.000106298     	lowerWall	6.84025338e-01	1.83134595e+00	8.54566124e-01
0.00010995      	lowerWall	6.88877754e-01	1.83136429e+00	8.52335707e-01
0.000113591     	lowerWall	6.93094326e-01	1.83180437e+00	8.50019672e-01
0.000117223     	lowerWall	6.96758277e-01	1.83253258e+00	8.47637579e-01
0.000120849     	lowerWall	6.99940571e-01	1.83341064e+00	8.45204319e-01
0.000124469     	lowerWall	7.02699823e-01	1.83430391e+00	8.42732635e-01
0.000128086     	lowerWall	7.05086725e-01	1.83508890e+00	8.40231959e-01
0.000131694     	lowerWall	7.07139418e-01	1.83565900e+00	8.37716234e-01
0.000135296     	lowerWall	7.08896769e-01	1.83593128e+00	8.35191439e-01
0.000138891     	lowerWall	7.10390963e-01	1.83584799e+00	8.32664081e-01
0.000142483     	lowerWall	7.11651381e-01	1.83537749e+00	8.30136844e-01
0.000146074     	lowerWall	7.12702375e-01	1.83451446e+00	8.27613402e-01
0.000149667     	lowerWall	7.13565490e-01	1.83327797e+00	8.25095816e-01
0.000153264     	lowerWall	7.14259632e-01	1.83170824e+00	8.22584682e-01
0.000156867     	lowerWall	7.14800540e-01	1.82986558e+00	8.20082880e-01
0.00016048      	lowerWall	7.15202668e-01	1.82782418e+00	8.17590178e-01
0.000164101     	lowerWall	7.15478245e-01	1.82567004e+00	8.15108762e-01
0.000167732     	lowerWall	7.15638288e-01	1.82349572e+00	8.12640545e-01
0.000171373     	lowerWall	7.15692747e-01	1.82139295e+00	8.10186279e-01
