# Selection         : all 
# Volume            : 1.395979868100e-03
# Time              	minMag(U)	location	cell
0                   	1.000000000000e+00	(4.000000000000e-02 5.605608193476e-03 1.000000000000e-01)	0
1                   	3.688567124593e-01	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
2                   	1.490051374429e-01	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
3                   	9.557527593529e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
4                   	7.390577579971e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
5                   	6.246705435053e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
6                   	5.520454794623e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
7                   	5.014117385569e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
8                   	4.636242832436e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
9                   	4.347628661106e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
10                  	4.122959164185e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
11                  	3.948823054237e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
12                  	3.815526460333e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
13                  	3.718385639032e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
14                  	3.654202105744e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
15                  	3.622048703657e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
16                  	3.621592421027e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
17                  	3.653418098759e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
18                  	3.717988350061e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
19                  	3.815589075082e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
20                  	3.945558827303e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
21                  	4.106195748341e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
22                  	4.294355290718e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
23                  	4.505602641805e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
24                  	4.733195389331e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
25                  	4.968875608305e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
26                  	5.205031305088e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
27                  	5.435484236058e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
28                  	5.655878520058e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
29                  	5.863484978813e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
30                  	6.056082136220e-02	(7.400000000000e+00 9.956494065743e-02 1.000000000000e-01)	2789
31                  	6.231653875489e-02	(7.000000000000e+00 9.956494065743e-02 1.000000000000e-01)	2639
32                  	6.391285609612e-02	(6.600000000000e+00 9.956494065743e-02 1.000000000000e-01)	2489
33                  	6.490458321804e-02	(4.400000000000e-01 9.956494065743e-02 1.000000000000e-01)	179
34                  	6.487452493144e-02	(4.400000000000e-01 9.956494065743e-02 1.000000000000e-01)	179
35                  	6.483678413329e-02	(4.400000000000e-01 9.956494065743e-02 1.000000000000e-01)	179
36                  	6.479387321684e-02	(4.400000000000e-01 9.956494065743e-02 1.000000000000e-01)	179
37                  	6.474794679094e-02	(4.400000000000e-01 9.956494065743e-02 1.000000000000e-01)	179
38                  	6.470084515865e-02	(4.400000000000e-01 9.956494065743e-02 1.000000000000e-01)	179
39                  	6.465409340840e-02	(4.400000000000e-01 9.956494065743e-02 1.000000000000e-01)	179
40                  	6.460032279528e-02	(5.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	209
41                  	6.453301749821e-02	(5.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	209
42                  	6.446612928151e-02	(5.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	209
43                  	6.440096315548e-02	(5.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	209
44                  	6.433860366995e-02	(5.200000000000e-01 9.956494065743e-02 1.000000000000e-01)	209
