# Wall shear stress 
# Time              	patch               	min                 	max                 
0.000000000000e+00	top	(-4.845412524745e-02 -5.603629783554e-18 -2.049331526337e-26)	(-4.845412524744e-02 5.603638026402e-18 -2.049331526337e-26)
1.000000000000e+02	top	(-1.371325184712e-02 -4.127609872683e-07 -1.760696701886e-17)	(-3.049016158787e-03 9.016887958189e-05 3.437830545451e-17)
2.000000000000e+02	top	(-1.371325185666e-02 -4.126308349031e-07 -2.665385208079e-17)	(-3.049063854436e-03 9.016890614915e-05 2.918855734280e-17)
3.000000000000e+02	top	(-1.371325185695e-02 -4.126308046274e-07 -3.733477660658e-17)	(-3.049063878853e-03 9.016890614098e-05 4.215585670764e-17)
4.000000000000e+02	top	(-1.371325185686e-02 -4.126307918654e-07 -1.939192515641e-17)	(-3.049063875454e-03 9.016890612433e-05 2.949019100977e-17)
5.000000000000e+02	top	(-1.371325185691e-02 -4.126308431466e-07 -1.800990557186e-17)	(-3.049063876406e-03 9.016890615201e-05 3.184780699618e-17)
6.000000000000e+02	top	(-1.371325185697e-02 -4.126307993362e-07 -2.611892213863e-17)	(-3.049063886039e-03 9.016890612853e-05 3.543254361324e-17)
7.000000000000e+02	top	(-1.371325185687e-02 -4.126308033708e-07 -1.835743900148e-17)	(-3.049063874335e-03 9.016890614563e-05 2.928072069989e-17)
8.000000000000e+02	top	(-1.371325185690e-02 -4.126308012960e-07 -2.719846817357e-17)	(-3.049063876818e-03 9.016890614213e-05 3.377621999090e-17)
9.000000000000e+02	top	(-1.371325185689e-02 -4.126308025574e-07 -1.495197252065e-17)	(-3.049063876092e-03 9.016890614263e-05 3.473332801209e-17)
1.000000000000e+03	top	(-1.371325185690e-02 -4.126308020381e-07 -2.329672954452e-17)	(-3.049063876367e-03 9.016890614249e-05 3.502007583458e-17)
